Access to electricity (% of population),"Adjusted net savings, including particulate emission damage (% of GNI)",Age dependency ratio (% of working-age population),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, registered carrier departures worldwide","Annual freshwater withdrawals, total (% of internal resources)",Arable land (% of land area),"Birth rate, crude (per 1,000 people)",Cereal yield (kg per hectare),"Children out of school, primary, female","Children out of school, primary, male",Container port traffic (TEU: 20 foot equivalent units),"Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)",Crop production index (2014-2016 = 100),"Current account balance (BoP, current US$)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Expense (% of GDP),Exports of goods and services (% of GDP),External debt stocks (% of GNI),"External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)",Fertilizer consumption (kilograms per hectare of arable land),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),Food production index (2014-2016 = 100),Forest area (% of land area),Forest area (sq. km),Fuel exports (% of merchandise exports),GDP (current US$),GDP growth (annual %),"GNI per capita, PPP (current international $)","GNI, PPP (current international $)","Government expenditure on education, total (% of GDP)","Grants, excluding technical cooperation (BoP, current US$)",Gross savings (% of GDP),High-technology exports (% of manufactured exports),High-technology exports (current US$),"Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Incidence of tuberculosis (per 100,000 people)","Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force, female (% of total labor force)","Labor force, total",Land area (sq. km),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Livestock production index (2014-2016 = 100),Medium and high-tech exports (% manufactured exports),Medium and high-tech manufacturing value added (% manufacturing value added),Merchandise exports (current US$),Merchandise imports (current US$),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net ODA received (% of GNI),Net ODA received per capita (current US$),Net acquisition of financial assets (% of GDP),"Net incurrence of liabilities, total (% of GDP)",Net lending (+) / net borrowing (-) (% of GDP),Net migration,Net official development assistance received (current US$),Permanent cropland (% of land area),Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),"Population, female (% of total population)","Population, total","Prevalence of HIV, total (% of population ages 15-49)",Prevalence of undernourishment (% of population),Price level ratio of PPP conversion factor (GDP) to market exchange rate,"Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Renewable internal freshwater resources, total (billion cubic meters)","Revenue, excluding grants (% of GDP)",Risk of catastrophic expenditure for surgical care (% of people at risk),Risk of impoverishing expenditure for surgical care (% of people at risk),Rural population,Rural population (% of total population),"School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Secure Internet servers (per 1 million people),Short-term debt (% of total reserves),Surface area (sq. km),"Technical cooperation grants (BoP, current US$)","Total debt service (% of exports of goods, services and primary income)","Total reserves (includes gold, current US$)",Trained teachers in primary education (% of total teachers),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population),"Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)",Gender Ratio Class
97.7,8.385,84.6,58.74,6.56,2865.74,43.02,12.0,35.84,2099.0,11816.0,12074.0,1619953.5,3.5999999999999996,12.79,125.67,-319279309.5,7.34,10.9,2.94,24.83,14.34,51.52,3555784340.0,4.64,5.2,0.07,0.36,114.32,1.85,12084.4,3.38,14266499430.0,5.15,2150.0,86285361407.0,4.255,258655000.0,22.195,5.99,95210004.0,66.0,63.0,37.07,185.0,14.27,3.4450000000000003,2.455,52.455,67.7,44.875,9356574.0,652230.0,65.28,58.92,61.98,96.07,0.34,8.46,850000000.0,5308000000.0,43.16,1.83,56.55,59.6,3.265,116.97,0.665,4.69,-4.13,-563.5,480160003.65,0.34,43.42,54.17,2.4,2.85,21.72,49.49,40099462.0,0.1,5.2,0.17,97.09,27.02,20.0,47.15,20.955,8.55,13.9,1735323.5,73.69,99.91,95.23,55.27,39.03,22.02,652860.0,62150000.0,14.025,8424740406.0,94.645,11.93,10551772.0,26.31,90.84,78.62,1
100.0,8.385,84.01,35.03,28.53,15844.0,1.26,24.83,36.61,1408.6,11816.0,12074.0,1619953.5,0.86,0.62,129.62,-734659106.6,9.43,1.1,4.79,24.83,20.92,38.76,6821309315.0,4.97,40.71,0.15,0.09,121.75,27.36,30851.5,0.0,17687623530.0,7.16,3560.0,46230987531.0,3.2,587700000.0,23.4,2.7,1211677.0,76.0,68.0,27.14,53.0,16.47,1.73,2.455,54.8,67.5,45.15,4560387.0,112760.0,61.45,58.22,59.82,130.7,30.3,22.42,3642000000.0,4370000000.0,45.3,0.55,97.96,15.4,4.83,65.4,0.665,4.69,-4.13,1732.0,849979980.5,5.32,42.58,54.35,3.08,2.76,21.72,49.91,12996895.0,0.8,9.9,0.38,97.09,8.43,54.5,10.3,20.955,8.55,13.9,6632056.0,51.03,110.71,95.23,55.27,22.47,22.02,114760.0,78140000.0,16.77,8424740406.0,94.645,1.69,6364839.0,48.97,83.89,72.8,1
100.0,8.385,45.32,29.01,12.39,15844.0,9.245000000000001,9.68,13.7,1635.2,11816.0,12074.0,1619953.5,15.9,1.75,84.35,-319279309.5,6.44,9.1,9.32,24.83,22.84,51.52,10348874167.0,1.69,68.29,12.07,33.1,89.6,6.64,107656.3,3.38,359000000000.0,4.72,15040.0,70041413822.0,4.255,150230000.0,22.195,0.38,96091680.0,98.0,99.0,21.53,12.0,38.01,3.4450000000000003,2.455,52.455,67.62,44.875,4154629.0,91605.6,76.81,71.25,73.88,102.36,33.01,38.43,71646000000.0,49086000000.0,33.62,2.19,154.55,12.4,0.08,3.45,0.665,4.69,-4.13,-563.5,303769989.0,1.17,23.81,68.81,7.38,0.72,25.2,49.47,6719538.0,0.1,6.1,0.27,97.09,5.59,0.9,128.5,20.955,8.55,13.9,20798288.0,23.66,99.91,95.23,55.8,3128.53,22.02,100430.0,62150000.0,14.025,8424740406.0,94.645,9.28,4022829.0,76.35,38.83,39.8,1
100.0,8.385,62.09,80.14,5.97,15844.0,0.84,14.13,26.11,972.4,11816.0,12074.0,1619953.5,0.93,0.81,119.14,-194099832.7,14.19,4.6,3.99,24.83,45.35,51.52,1833103211.0,3.02,8.29,0.35,0.42,102.16,1.14,345.2,0.03,2406780519.0,1.85,2870.0,6543657989.0,4.255,149820000.0,16.9,0.07,535475.0,87.0,90.0,42.61,42.0,32.13,6.05,2.455,57.17,71.2,45.53,962878.0,30360.0,55.93,50.37,53.06,92.6,30.3,22.42,935000000.0,1824000000.0,114.63,1.56,79.83,15.4,6.53,78.55,0.665,4.41,-4.54,-1490.0,179199996.9,0.13,34.1,61.69,4.21,1.21,21.72,50.66,2281454.0,0.4,5.2,0.42,97.09,23.33,33.6,5.23,20.955,8.55,13.9,1608881.0,70.52,90.07,95.23,55.27,66.62,22.02,30360.0,4850000.0,14.025,798207194.3,94.645,6.035,672573.0,29.48,30.24,35.51,1
82.5,8.385,53.45,34.55,22.85,390.66,1.81,23.34,19.33,3565.6,11816.0,12074.0,1619953.5,21.37,9.67,131.19,-319279309.5,6.84,7.3,4.96,24.83,66.75,51.52,20050196517.0,2.34,49.58,1.98,0.24,124.71,44.83,79126.8,0.0,26961061152.0,3.03,4430.0,73412513745.0,3.01,507570000.0,33.71,2.98,454908154.0,87.0,83.0,62.36,282.0,36.83,2.92,2.455,70.15,82.31,47.25,8922729.0,176520.0,72.29,66.82,69.58,94.16,13.69,0.26,19307000000.0,28583000000.0,57.73,2.35,119.96,24.6,5.35,82.41,0.665,4.69,-4.13,-24262.0,480160003.65,2.71,29.3,65.17,5.53,1.17,21.72,50.5,16589023.0,0.5,4.8,0.35,94.66,21.6,52.4,120.6,18.15,8.55,13.9,12496843.0,75.33,108.74,95.23,55.27,170.23,22.02,181040.0,119990000.0,14.025,20269721098.0,94.645,0.4,4092180.0,24.67,60.98,45.2,1
97.9,8.6,60.85,43.04,9.3,48.0,3.04,14.5,21.12,2194.1,11816.0,12074.0,1619953.5,12.11,6.72,99.72,1890468140.0,6.5,13.1,4.42,24.83,17.71,51.52,13759708513.0,2.4,219.35,3.48,13.2,107.03,32.81,35162.0,2.71,86053083476.0,8.0,11810.0,202000000000.0,3.11,450460000.0,19.04,5.17,332469285.0,79.0,81.0,31.78,26.0,22.34,4.26,2.455,38.35,80.46,33.24,6764382.0,107160.0,72.65,66.01,69.24,118.58,24.87,22.4,13753000000.0,26607000000.0,46.9,0.4,125.65,22.9,0.61,29.96,0.665,4.69,-4.13,-563.5,512549987.8,1.63,32.93,62.17,4.9,1.48,17.44,50.5,17109746.0,0.2,13.3,0.42,97.09,19.38,62.1,109.2,20.955,8.55,13.9,8170759.0,47.76,103.81,95.23,55.27,126.01,22.02,108890.0,56750000.0,14.025,20934881435.0,94.645,2.17,8938987.0,52.25,52.52,36.82,1
91.8,8.385,67.56,8.36,6.02,15844.0,0.08,1.26,27.14,1587.6,11816.0,12074.0,1619953.5,1.3,0.59,105.3,-319279309.5,7.26,5.5,6.47,24.83,55.54,45.78,7806030500.0,3.49,28.25,2.65,1.33,104.82,91.27,235187.2,3.38,20217946921.0,1.47,16490.0,38608290592.0,2.7,46310000.0,22.195,1.48,40017534.0,75.0,64.0,18.95,42.0,50.92,1.09,2.455,37.8,54.34,39.77,688927.0,257670.0,68.49,63.49,65.82,102.67,10.09,5.39,8031000000.0,3646000000.0,57.76,1.54,134.32,39.9,0.58,42.09,0.665,4.69,-4.13,1516.0,98550003.05,0.66,36.42,59.68,3.9,2.1,21.72,49.07,2341179.0,0.4,23.0,0.44,97.09,16.2,91.3,164.0,20.955,12.8,13.9,224215.0,9.58,99.95,71.44,55.27,40.58,22.02,267670.0,28060000.0,15.31,8424740406.0,94.645,6.035,2116964.0,90.42,37.59,28.08,1
100.0,8.385,48.18,41.47,18.36,1471.0,2.96,21.89,10.24,5144.7,11816.0,12074.0,1619953.5,27.58,1.81,114.68,-1369694859.0,11.33,10.2,2.27,24.83,31.31,62.52,11054877742.0,1.39,92.2,19.63,6.94,104.92,28.79,7889.0,0.02,17930565119.0,8.91,16040.0,45086289512.0,3.02,264120000.0,17.15,0.42,6384226.0,98.0,87.0,44.71,15.0,20.75,2.04,2.455,51.79,65.74,44.31,1382433.0,27400.0,79.17,74.09,76.46,91.79,8.41,6.31,3559000000.0,7718000000.0,62.89,1.22,92.32,9.5,3.58,60.85,0.665,4.69,-4.21,-10612.0,633419982.9,3.2,16.28,67.48,16.23,-0.93,21.72,50.05,2811666.0,0.1,4.1,0.39,97.22,35.71,41.9,26.9,19.3,5.2,13.9,1041188.0,37.03,97.11,97.67,59.97,988.03,22.02,28750.0,104100000.0,14.54,5634561134.0,94.645,12.47,1770478.0,62.97,50.01,50.66,1
99.8,8.385,58.46,17.35,11.23,27650.0,9.245000000000001,3.16,21.52,1433.7,11816.0,12074.0,1619953.5,2.1,1.61,108.76,-4509654274.0,4.55,7.1,5.61,24.83,23.88,51.52,7378779147.0,2.89,20.68,9.33,11.4,104.83,0.82,19583.33,3.38,186000000000.0,3.8,14400.0,636000000000.0,5.51,112600000.0,38.67,5.99,95210004.0,81.0,79.0,23.39,54.0,36.32,7.23,2.455,52.455,62.92,44.875,12202063.0,91605.6,77.96,74.88,76.38,97.32,3.95,2.69,38637000000.0,37466000000.0,40.86,1.495,106.42,22.3,0.12,4.85,0.665,4.69,-4.13,-18797.0,214449996.9,0.41,30.71,63.11,6.18,1.66,21.72,49.08,44177969.0,0.1,2.5,0.29,99.75,8.11,0.1,11.25,20.955,11.0,13.9,11370967.0,25.74,107.0,95.23,54.21,62.93,22.02,100430.0,62150000.0,14.025,56211005199.0,94.645,13.61,4022829.0,74.26,24.18,27.86,1
100.0,8.385,68.98,48.61,16.32,15844.0,9.245000000000001,27.78,23.05,3062.55,11816.0,12074.0,1619953.5,5.01,3.54,96.72,-33413648.47,6.97,15.0,4.65,24.83,12.52,45.14,13759708513.0,3.24,11.35,6.46,10.3,97.52,12.43,89.5,3.38,469228219.7,-2.67,7180.0,760864597.4,4.93,94170000.0,22.195,5.99,95210004.0,99.0,99.0,60.84,7.6,15.92,5.64,2.455,42.22,64.56,41.19,36740.0,720.0,73.72,68.42,70.99,101.64,23.45,1.61,16000000.0,246000000.0,55.84,1.495,60.68,11.2,3.265,60.85,0.665,4.69,-4.13,-948.0,113069999.7,1.63,34.62,59.18,6.2,0.72,21.72,50.54,106017.0,0.4,5.2,0.66,99.06,0.0,1.8,32.15,20.955,8.55,13.9,81523.0,76.9,107.02,100.29,55.27,688.57,22.02,750.0,11190000.0,14.025,361811847.8,94.645,2.11,24494.0,23.1,35.88,39.08,1
