Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, registered carrier departures worldwide",Arable land (% of land area),"Contributing family workers, female (% of female employment) (modeled ILO estimate)",Crop production index (2014-2016 = 100),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Exports of goods and services (% of GDP),Fertilizer consumption (kilograms per hectare of arable land),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),Food production index (2014-2016 = 100),Fuel exports (% of merchandise exports),GDP (current US$),"GNI per capita, PPP (current international $)",Gross savings (% of GDP),High-technology exports (% of manufactured exports),High-technology exports (current US$),"Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Industry (including construction), value added (% of GDP)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force, female (% of total labor force)","Labor force, total",Land area (sq. km),Livestock production index (2014-2016 = 100),Medium and high-tech exports (% manufactured exports),Medium and high-tech manufacturing value added (% manufacturing value added),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net ODA received (% of GNI),Net acquisition of financial assets (% of GDP),"Net incurrence of liabilities, total (% of GDP)",Net lending (+) / net borrowing (-) (% of GDP),Net migration,Net official development assistance received (current US$),Permanent cropland (% of land area),Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),"Population, female (% of total population)","Prevalence of HIV, total (% of population ages 15-49)",Price level ratio of PPP conversion factor (GDP) to market exchange rate,"Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Risk of catastrophic expenditure for surgical care (% of people at risk),Risk of impoverishing expenditure for surgical care (% of people at risk),Rural population,"School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Secure Internet servers (per 1 million people),"Technical cooperation grants (BoP, current US$)","Total debt service (% of exports of goods, services and primary income)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",Gender Ratio Class
100.0,6.56,15844.0,4.85,3.5999999999999996,104.94,3.99,44.27,92.2,11.86,20.3,105.58000000000001,3.38,750000000.0,16040.0,22.195,5.99,95210004.0,89.0,42.61,24.14,52.455,69.39500000000001,44.875,4154629.0,200.0,105.97,30.3,22.42,57.73,1.495,111.96,15.4,3.265,0.665,4.69,-4.13,-1646.0,480160003.65,9.65,0.86,21.72,50.51,0.4,0.44,97.09,23.78,0.4,8.55,13.9,5778.0,99.91,95.23,55.27,466.3,62150000.0,14.025,6.035,39257.0,29.265,3
100.0,0.29,15844.0,5.56,3.5999999999999996,104.94,1.52,48.68,239.47,35.58,38.7,105.58000000000001,0.02,7286607000.0,16040.0,22.195,8.07,1878816.0,89.0,23.52,5.3,52.455,69.39500000000001,44.875,4154629.0,54.0,105.97,30.3,7.71,14.88,1.495,105.94,15.4,3.265,0.665,4.69,-4.13,291.0,480160003.65,1.63,-0.2,21.72,51.76,0.4,0.44,97.09,23.78,0.9,8.55,13.9,0.0,99.91,80.72,55.27,6257.45,62150000.0,14.025,6.035,63764.0,29.265,3
100.0,2.44,8802.0,0.33,3.5999999999999996,102.55,2.85,34.89,92.2,33.56,15.3,105.58000000000001,0.0,1487173795.0,28720.0,22.195,3.34,784869.0,94.0,42.61,11.75,52.455,69.39500000000001,44.875,4154629.0,460.0,105.97,30.3,22.42,107.38,2.78,172.67,14.7,3.265,0.665,4.69,-4.13,146.0,480160003.65,3.04,0.81,21.72,50.355000000000004,0.4,0.5,97.09,22.86,1.7,8.55,13.9,41716.0,109.63,102.95,26.87,597.575,62150000.0,14.025,6.035,57542.0,29.265,3
100.0,0.17,15844.0,10.81,3.5999999999999996,104.94,3.99,34.89,92.2,47.52,29.5,105.58000000000001,3.38,7710380086.0,16040.0,22.195,5.99,95210004.0,89.0,42.61,40.2,52.455,69.39500000000001,44.875,4154629.0,160.0,105.97,30.3,22.42,57.73,1.495,126.09,15.4,3.265,0.665,4.69,-4.13,231.0,480160003.65,1.63,0.73,21.72,50.43,0.4,0.44,97.09,28.0,53.6,8.55,13.9,33390.0,102.11,118.73,46.02,597.575,62150000.0,14.025,6.035,5649.0,29.265,3
98.1,5.67,3106.0,18.45,2.92,119.04,2.11,21.75,162.19,10.32,10.4,114.96,0.77,94243425938.0,20830.0,27.86,8.48,565390971.0,88.0,30.98,32.66,50.93,75.45,40.38,5101650.0,47531.0,106.86,30.3,22.42,39.01,0.65,87.56,33.2,0.5,0.69,4.69,-4.13,-14966.0,448420013.4,7.47,1.07,21.72,49.79,1.0,0.39,97.09,27.89,14.8,8.55,13.9,1866357.0,96.87,75.7,56.47,142.2,15380000.0,16.72,7.7,9251516.0,29.82,3
100.0,1.47,11513.0,4.87,0.77,101.09,3.99,34.89,354.45,24.93,23.0,88.07,3.38,24496505941.0,27530.0,22.195,0.1,5248961.0,93.0,42.61,39.96,46.35,62.54,43.58,668306.0,5130.0,82.81,56.28,39.38,58.66,0.89,130.88,15.9,3.265,0.665,4.69,-4.13,2632.0,480160003.65,4.29,0.49,21.72,50.66,1.1,0.58,97.09,26.19,0.5,8.55,13.9,713019.0,99.91,95.23,55.27,312.65,62150000.0,14.025,4.45,812644.0,13.83,3
100.0,6.56,15844.0,10.295,3.5999999999999996,104.94,3.99,34.89,92.2,54.92,12.4,105.58000000000001,3.38,8626081321.0,16040.0,22.195,5.99,95210004.0,88.0,42.61,12.54,52.455,69.39500000000001,44.875,4154629.0,2.08,105.97,30.3,22.42,57.73,1.495,102.02,2.9,3.265,0.665,4.69,-4.13,206.0,480160003.65,1.63,-0.64,21.72,50.98,0.4,0.44,97.09,33.33,20.2,8.55,13.9,0.0,99.91,95.23,55.27,16600.34,62150000.0,14.025,6.035,36686.0,29.265,3
89.3,2.56,15844.0,9.89,0.52,125.16,6.57,31.11,104.64,2.76,2.39,114.24,8.68,420000000000.0,13900.0,16.34,5.55,95210004.0,87.0,24.97,24.62,49.64,62.46,46.51,4154629.0,91605.6,104.22,45.35,24.43,56.55,0.81,168.92,34.7,0.25,0.665,4.22,-4.9,10934.0,1041569946.0,0.34,1.0,21.72,51.35,0.4,0.5,97.01,46.58,9.7,11.6,13.9,19096392.0,98.12,111.8,25.36,16628.14,62150000.0,14.025,6.035,4022829.0,27.5,3
100.0,16.96,15844.0,8.0,3.5999999999999996,100.63,3.03,34.89,73.09,20.96,11.1,100.87,0.0,555266666.7,14490.0,22.195,3.31,291177.0,88.0,42.61,12.17,52.455,69.39500000000001,44.875,4154629.0,750.0,102.28,30.3,22.42,45.02,1.495,85.86,31.7,3.265,0.665,4.69,-4.13,57.0,79069999.69,1.63,0.58,21.72,50.23,0.4,0.53,97.09,34.38,8.8,8.55,13.9,20713.0,92.49,87.17,55.27,597.575,1140000.0,14.91,6.035,51699.0,29.265,3
97.5,10.07,71556.0,18.75,10.0,105.11,2.78,25.75,232.03,8.51,4.13,100.25,1.18,394000000000.0,9110.0,20.2,5.99,95210004.0,57.0,37.73,28.89,44.03,68.74,38.73,4154629.0,298170.0,86.51,30.3,41.78,50.49,1.41,143.44,27.9,0.4,0.68,4.69,-4.13,-563.5,480160003.65,1.63,1.49,14.07,49.23,0.2,0.39,91.1,27.96,28.0,8.55,13.9,1735323.5,90.61,87.13,34.85,132.74,62150000.0,12.2,3.4,4022829.0,38.92,3
83.6,22.28,15844.0,2.86,3.5999999999999996,122.83,6.46,20.1,0.47,5.38,6.27,119.16,3.38,390000000.0,4320.0,22.195,5.99,95210004.0,64.0,67.51,5.02,52.455,69.39500000000001,44.875,4154629.0,700.0,103.38,30.3,22.42,94.62,1.495,111.96,25.0,3.265,0.665,4.69,-4.13,-635.0,130759994.5,1.63,0.91,21.72,49.71,0.4,0.89,97.09,7.14,2.1,8.55,13.9,87034.0,90.93,95.23,55.27,176.79,3300000.0,14.025,6.035,26097.0,29.265,3
100.0,10.89,33922.0,10.295,0.18,121.71,6.89,40.69,78.49,18.27,5.51,113.92,1.13,200000000000.0,17520.0,12.56,4.51,1283624066.0,88.0,42.01,23.15,47.79,62.9,47.81,20311702.0,579400.0,90.72,32.24,28.35,70.54,1.495,135.03,8.2,1.14,0.665,4.69,-3.37,831.0,480160003.65,1.47,-0.81,21.72,50.355000000000004,0.4,0.27,97.09,20.8,8.9,8.55,13.9,13261249.0,91.15,84.65,75.91,9632.1,62150000.0,15.18,9.83,4022829.0,14.41,3
100.0,1.62,15844.0,32.79,0.43,96.52,3.23,30.03,153.32,47.64,12.4,96.72,3.2,28144331507.0,55020.0,23.57,5.99,95210004.0,94.0,31.92,16.4,52.2,59.84,48.83,4154629.0,547557.0,96.97,62.59,51.7,43.93,1.92,116.69,4.1,3.265,0.665,4.69,-4.13,-563.5,480160003.65,1.85,0.29,22.86,51.66,0.3,0.81,97.09,39.51,16.2,8.55,13.9,12711228.0,102.58,104.52,69.94,597.575,62150000.0,14.025,7.87,4022829.0,6.63,3
100.0,6.56,15844.0,11.11,3.5999999999999996,104.94,3.13,69.07,3.86,17.66,32.5,105.58000000000001,0.03,3103184102.0,37070.0,13.46,4.82,1171746.0,89.0,70.83,24.14,52.455,69.39500000000001,44.875,4154629.0,180.0,105.97,30.3,22.42,38.25,1.495,132.35,15.4,3.265,0.665,4.69,-4.13,501.0,480160003.65,1.63,-0.05,21.72,52.87,0.4,0.76,100.94,23.78,8.8,8.55,13.9,59803.0,99.91,95.23,55.27,1661.39,62150000.0,14.025,6.035,46734.0,29.265,3
100.0,0.63,15844.0,10.01,2.35,80.53,1.53,71.29,177.19,47.94,34.5,94.38,1.13,28144331507.0,16040.0,35.25,14.24,95210004.0,95.0,58.97,25.58,62.23,72.68,46.8,4981500.0,39509.63,98.35,70.83,22.42,86.58,0.78,123.43,4.0,3.265,0.665,4.69,-4.13,-563.5,480160003.65,0.64,0.77,16.17,50.36,0.2,0.44,95.48,42.5,27.7,8.55,13.9,2263530.0,101.48,103.61,71.89,597.575,62150000.0,14.025,5.1,6441016.0,9.69,3
100.0,0.71,15844.0,33.37,0.47,90.39,2.7,47.28,130.14,44.06,46.0,94.49,2.6,28144331507.0,64330.0,30.87,15.39,95210004.0,97.0,41.88,27.03,55.47,65.83,46.71,4154629.0,349390.0,97.06,72.23,22.42,71.48,1.33,127.56,3.6,3.265,0.665,4.29,-3.99,-563.5,480160003.65,0.58,0.04,21.72,50.66,0.1,0.83,100.97,34.92,17.6,8.55,13.9,18682511.0,101.35,101.2,75.67,597.575,62150000.0,14.025,3.64,4022829.0,4.12,3
95.5,5.97,1625.25,12.41,13.97,104.94,2.45,23.85,5.37,5.91,10.6,105.58000000000001,0.0,2051842610.0,6660.0,17.57,2.04,134350.0,95.0,53.61,12.52,49.15,61.74,44.95,238872.0,4030.0,84.62,1.18,27.1,42.69,0.58,100.38,12.8,7.18,0.665,4.69,-4.13,-1274.0,145240005.5,0.99,0.9,21.72,50.28,0.9,0.52,97.09,38.89,22.6,13.5,13.9,193416.0,96.4,86.49,55.27,569.8,25330000.0,11.2,13.91,394509.0,44.74,3
99.5,6.56,15844.0,6.97,3.16,115.35,3.96,19.11,92.2,19.84,13.8,112.13,13.66,28144331507.0,17120.0,17.16,9.0,95210004.0,73.0,18.55,22.12,52.31,72.79,43.14,4154629.0,91605.6,108.55,30.37,30.68,30.86,1.16,102.49,14.3,0.07,0.665,4.69,-4.14,-563.5,1114540039.0,0.93,0.53,21.72,50.87,0.6,0.44,97.09,15.2,46.5,13.1,18.3,1735323.5,103.47,106.65,56.83,3467.56,62150000.0,14.025,13.16,4022829.0,25.44,3
100.0,2.24,60781.0,36.19,1.66,107.9,3.42,57.7,156.06,22.82,14.0,110.69,2.21,28144331507.0,38630.0,20.47,9.45,95210004.0,71.0,54.38,28.1,50.28,66.36,45.27,18519217.0,306100.0,113.64,53.42,32.89,100.2,2.22,132.06,4.4,3.265,0.665,4.69,-4.13,-2968.0,480160003.65,1.24,-0.4,21.72,51.64,0.1,0.45,97.09,28.32,15.2,8.55,13.9,15070539.0,96.6,110.53,72.21,597.575,62150000.0,14.025,3.36,22676585.0,12.02,3
100.0,1.91,15844.0,16.28,0.07,90.63,4.01,30.23,37.2,36.35,42.9,89.53,4.66,4945276000.0,14470.0,22.195,17.16,19196509.0,77.0,39.64,12.63,58.32,64.43,50.18,142587.0,430.0,89.16,27.75,38.11,40.93,1.495,112.6,11.2,3.265,0.665,4.69,-4.13,-28.0,480160003.65,2.33,0.18,21.72,52.05,1.0,0.44,100.24,20.0,5.5,8.55,13.9,193336.0,98.15,104.71,55.27,917.5,62150000.0,14.025,9.42,87864.0,13.83,3
100.0,7.31,54218.0,15.42,0.85,107.19,3.39,18.0,62.18,23.15,16.8,108.4,2.64,28144331507.0,25560.0,19.54,4.42,466425814.0,86.0,14.93,23.92,50.28,70.87,42.53,21191985.0,91605.6,111.03,42.34,28.59,28.92,0.63,130.46,9.7,0.03,0.665,4.69,-4.13,2344.0,155259994.5,0.39,0.95,21.72,50.49,0.4,0.41,97.09,44.75,9.2,5.0,8.6,3559798.0,110.16,116.56,55.27,5060.91,31000000.0,14.025,8.74,4022829.0,22.68,4
100.0,0.95,15844.0,17.24,0.09,101.0,4.24,10.81,128.74,37.01,28.6,104.57,15.92,28144331507.0,71610.0,17.93,19.9,95210004.0,92.0,14.45,17.67,55.59,67.04,46.15,4154629.0,91605.6,110.06,62.6,44.08,19.88,1.495,107.32,6.3,3.265,0.665,4.69,-4.13,-563.5,480160003.65,0.3,0.16,21.72,50.46,0.4,1.0,101.09,27.65,10.9,8.55,13.9,1735323.5,98.31,101.19,55.27,597.575,62150000.0,14.025,5.35,4022829.0,3.04,4
100.0,1.29,15844.0,6.22,0.38,91.72,3.49,46.5,117.13,40.84,12.1,96.45,6.95,28144331507.0,66040.0,33.02,13.93,95210004.0,97.0,41.75,22.69,62.19,69.37,47.13,5638697.0,407283.54,99.69,58.3,51.21,58.87,1.19,124.35,2.5,3.265,0.665,4.69,-4.13,-563.5,480160003.65,0.01,0.6,15.9,49.63,0.4,0.97,99.82,46.99,57.9,8.55,13.9,1225108.0,99.91,95.23,55.27,597.575,62150000.0,14.025,8.72,9190703.0,4.46,4
100.0,1.22,15844.0,15.99,1.17,100.74,2.86,55.95,128.57,29.25,42.5,100.48,2.47,28144331507.0,64410.0,29.31,11.02,95210004.0,99.0,55.03,26.07,56.1,66.44,46.93,4688653.0,82520.0,100.31,61.75,44.84,88.11,0.87,121.97,3.3,3.265,0.665,5.26,-4.13,-563.5,480160003.65,0.82,0.44,21.72,50.78,0.4,0.84,99.82,40.44,36.0,8.55,13.9,3672325.0,101.64,102.31,55.27,597.575,62150000.0,14.025,6.46,5283472.0,7.75,4
100.0,6.56,15844.0,5.19,9.28,111.76,3.99,34.89,5.57,0.25,0.11,100.2,3.38,3513049520.0,1460.0,22.195,5.99,961787.0,58.0,42.61,18.22,72.04,80.74,47.96,2338007.0,96320.0,103.2,30.3,22.42,63.16,1.0,31.83,15.4,3.265,0.665,4.69,-4.13,-11862.0,606330017.1,2.08,2.06,21.72,50.22,1.0,0.43,97.09,10.96,93.2,8.55,13.9,2463081.0,99.91,95.23,55.27,6.74,35780000.0,14.025,3.79,2730335.0,89.49,4
100.0,6.56,15844.0,0.72,0.31,102.15,2.6,13.1,92.2,26.72,47.9,103.74,0.06,6150640646.0,16040.0,22.195,5.99,23343057.0,89.0,38.53,24.14,49.61,62.13,44.05,133089.0,3471.0,107.91,30.3,22.42,34.14,1.495,106.21,15.4,3.265,0.665,4.69,-4.13,-378.0,480160003.65,7.49,0.7,21.72,49.42,0.4,0.44,97.09,23.78,7.4,8.55,13.9,115331.0,99.91,95.23,55.27,1476.82,62150000.0,14.025,12.49,188701.0,13.35,4
100.0,5.78,15844.0,2.34,0.89,104.93,3.77,22.34,92.2,35.26,17.8,103.26,1.19,254000000000.0,46920.0,18.54,9.76,673724583.0,91.0,26.21,18.97,66.13,75.61,47.48,2934771.0,263310.0,102.49,18.53,21.63,37.31,1.17,113.96,4.7,3.265,0.665,4.69,-4.13,-563.5,480160003.65,0.28,0.41,21.72,50.44,0.1,1.03,97.09,49.17,28.9,8.55,13.9,675254.0,97.92,117.6,55.27,16060.69,62150000.0,14.025,3.78,4436046.0,16.06,4
100.0,1.09,15844.0,10.295,0.43,96.3,1.96,58.7,132.62,44.96,12.4,102.97,4.2,406000000000.0,72640.0,33.11,13.77,95210004.0,95.0,52.01,19.59,58.07,67.11,46.95,3070703.0,40000.0,106.32,58.02,22.42,60.7,1.32,125.78,3.6,3.265,0.64,4.69,-4.13,-563.5,480160003.65,0.68,0.43,23.2,50.26,0.1,0.99,99.68,39.66,39.5,8.55,13.9,688752.0,100.31,95.23,55.27,597.575,62150000.0,14.025,5.04,5167981.0,3.83,4
100.0,7.94,15844.0,11.6,1.15,91.17,2.94,31.98,211.12,32.55,36.4,100.47,5.65,60760798596.0,26280.0,15.58,8.6,132818761.0,93.0,24.84,17.56,56.13,70.48,46.56,1738442.0,175020.0,105.97,23.97,19.46,32.68,2.1,136.92,6.8,3.265,0.665,4.69,-4.13,-1486.0,480160003.65,0.22,-0.08,21.72,51.57,0.6,0.61,100.5,24.24,57.8,8.55,13.9,150653.0,107.99,95.23,75.17,2470.04,62150000.0,14.025,9.3,3275607.0,23.29,4
100.0,0.71,15844.0,24.84,0.39,90.1,2.2,29.6,240.94,41.11,47.1,100.53,8.33,28144331507.0,53130.0,17.46,5.99,95210004.0,91.0,29.75,16.61,58.35,66.15,47.86,4154629.0,241930.0,106.53,66.86,44.95,37.09,2.16,118.57,4.2,3.265,0.665,4.69,-4.13,-563.5,480160003.65,0.19,-0.08,27.43,50.6,0.4,0.89,99.45,34.26,12.2,8.55,13.9,10622327.0,102.04,113.68,77.08,597.575,62150000.0,14.025,4.83,4022829.0,10.0,4
100.0,2.73,15844.0,23.11,0.49,114.78,2.66,34.18,161.05,34.93,39.9,116.79,6.01,28144331507.0,43960.0,22.35,9.39,95210004.0,95.0,33.21,20.32,52.58,62.53,47.08,4154629.0,499733.24,119.84,54.13,39.83,55.32,1.37,119.62,3.1,3.265,0.665,4.69,-4.13,-563.5,480160003.65,10.12,0.11,25.93,50.99,0.2,0.7,99.17,43.43,19.0,8.55,13.9,8982448.0,102.9,119.11,55.27,597.575,62150000.0,14.025,14.78,4022829.0,8.64,4
100.0,6.56,15844.0,4.35,0.1,84.04,6.55,31.22,126.06,41.69,31.7,95.47,3.38,28144331507.0,55300.0,23.29,15.05,95210004.0,90.0,31.21,24.14,60.62,69.62,47.12,20967796.0,91605.6,118.15,48.78,34.87,50.51,1.27,88.09,5.0,3.265,0.65,4.69,-4.02,-563.5,480160003.65,0.02,0.55,21.72,50.31,0.4,0.94,97.09,30.47,23.8,8.55,13.9,7015868.0,96.29,109.33,77.8,597.575,62150000.0,14.025,7.53,4022829.0,8.74,4
100.0,0.9,5635.0,24.38,0.13,104.94,1.21,34.89,148.66,42.18,49.2,105.58000000000001,7.27,18123718947.0,48070.0,27.2,5.99,763239296.0,90.0,42.61,12.57,53.18,71.54,40.66,282572.0,320.0,95.55,64.39,28.96,56.26,0.5,123.38,5.8,3.265,0.665,4.69,-4.13,10408.0,480160003.65,2.97,0.62,21.72,47.99,0.2,0.65,98.47,13.43,8.6,8.55,13.9,26912.0,95.41,103.09,73.02,6180.86,62150000.0,14.025,3.4,491624.0,6.83,4
100.0,6.56,8552.0,1.64,1.44,84.58,5.17,9.37,0.01,1.03,1.19,84.08,3.38,950394006.5,3440.0,22.195,5.99,95210004.0,50.0,52.45,24.14,60.28,77.55,44.28,132628.0,12190.0,81.76,30.3,22.42,41.35,1.495,78.3,18.7,3.265,0.59,4.69,-4.13,-197.0,166899993.9,10.25,2.36,21.72,49.71,0.4,0.99,99.25,0.0,24.6,8.55,13.9,237230.0,99.91,95.23,55.27,2701.03,35440000.0,14.025,4.73,81907.0,62.62,4
100.0,2.88,1238.0,1.89,8.76,103.56,5.18,45.13,18.39,0.1,0.64,102.85,3.38,12215878033.0,13550.0,22.195,5.99,95210004.0,53.0,31.84,50.39,49.66,56.77,42.35,535701.0,28050.0,99.23,30.3,22.42,60.95,1.46,49.97,15.4,0.14,0.665,4.69,-4.13,6486.0,12770000.46,1.68,2.38,21.72,50.355000000000004,0.4,0.41,97.09,23.0,5.2,8.55,13.9,432136.0,99.91,95.23,55.27,21.41,1730000.0,14.025,9.19,1202330.0,86.54,4
76.3,6.56,5488.64,0.82,3.5999999999999996,108.11,5.07,27.17,10.34,0.13,0.92,101.58,3.38,1522794913.0,2750.0,17.99,5.99,95210004.0,67.0,39.46,18.06,52.455,84.64,48.56,357421.0,27990.0,101.19,30.3,22.42,58.9,1.495,66.96,18.9,3.265,0.665,4.69,-4.01,-808.0,264709991.5,3.18,2.38,21.72,48.9,0.4,0.79,97.09,8.0,49.1,8.55,13.9,529982.0,99.91,95.23,55.27,100.3,44210000.0,14.025,0.87,177869.0,75.31,4
100.0,1.26,23090.0,17.42,0.04,94.81,2.39,29.4,265.38,29.71,39.1,101.44,3.38,28144331507.0,45530.0,29.27,5.99,95210004.0,99.0,25.8,17.17,59.68,67.06,47.79,4262382.0,21640.0,105.12,66.83,46.9,31.18,1.495,140.45,3.4,3.265,0.665,5.37,-4.45,16856.0,480160003.65,4.74,1.68,21.72,50.14,0.4,0.44,94.71,28.33,6.2,8.55,13.9,686549.0,96.25,96.93,58.99,13021.96,62150000.0,14.025,4.81,8684851.0,7.2,4
100.0,9.56,32.36,0.97,5.08,116.61,3.45,31.96,3.73,3.18,3.27,96.06,1.45,12402486184.0,10380.0,22.195,0.07,639994.0,91.0,51.59,24.45,55.05,61.63,49.78,938865.0,823290.0,84.32,1.46,7.35,87.03,1.495,115.22,38.9,1.53,0.665,4.69,-4.13,-4301.0,182589996.3,0.01,1.64,21.72,51.74,0.4,0.45,97.09,44.23,30.0,12.4,13.9,1189044.0,99.91,95.23,55.27,273.5,47940000.0,14.025,6.035,1341107.0,39.16,4
98.8,8.9,373.0,0.37,5.59,79.9,4.74,34.89,175.48,19.9,19.4,87.81,3.32,3081401726.0,16090.0,22.195,4.63,5291087.0,58.0,42.61,38.03,44.23,63.88,41.45,243125.0,156000.0,125.22,36.06,11.53,119.17,1.495,147.83,17.2,1.07,0.665,4.69,-4.13,-492.0,28780000.69,0.03,0.97,21.72,50.18,0.4,0.27,97.09,29.41,14.5,8.55,13.9,207072.0,97.55,95.23,55.27,5339.45,3580000.0,14.025,8.46,405913.0,18.51,4
92.9,13.46,624.0,2.13,5.63,97.56,2.8,34.89,60.89,11.65,15.3,102.85,3.38,8041362110.0,21900.0,22.195,0.22,139915.0,95.0,42.61,50.39,39.33,60.22,41.26,283296.0,196850.0,139.31,30.3,22.42,108.59,1.0,106.39,27.5,1.83,0.665,4.69,-4.13,-4316.0,138809997.6,0.15,0.92,21.72,51.07,0.4,0.43,97.09,35.71,13.2,8.55,13.9,588163.0,99.72,85.52,55.27,65.87,5350000.0,14.025,14.93,216404.0,30.38,4
88.8,27.82,5705.0,25.38,2.26,100.49,3.99,24.8,3.86,7.29,13.0,100.59,3.38,8980060819.0,2780.0,22.195,5.99,95210004.0,59.0,73.06,28.91,52.455,60.91,44.875,5281602.0,183630.0,99.41,22.69,21.52,111.91,1.495,79.68,21.6,3.265,0.665,4.69,-4.13,-563.5,480160003.65,5.81,2.62,27.23,49.91,0.1,0.14,97.09,11.2,1.1,8.55,13.9,9356279.0,99.91,95.23,55.27,47.08,62150000.0,14.025,14.8,11968088.0,9.16,5
100.0,6.56,6773.0,10.295,0.22,102.6,0.85,34.89,92.2,29.62,14.3,105.58000000000001,3.38,30969334705.0,73470.0,31.48,0.0,0.0,89.0,76.75,7.69,63.54,73.64,50.22,399806.0,33.0,105.97,0.22,6.06,67.29,1.495,185.66,15.4,3.265,0.665,4.69,-4.13,4004.0,480160003.65,1.63,1.52,21.72,50.355000000000004,0.4,0.61,95.78,23.78,13.6,8.55,13.9,0.0,89.07,88.55,55.27,5138.31,62150000.0,14.025,2.25,686607.0,2.06,5
99.8,6.46,20.0,0.66,3.29,96.94,3.53,42.83,311.96,31.18,31.4,101.3,3.38,5861427505.0,25020.0,17.43,9.44,13067233.0,89.0,62.2,14.84,47.81,61.79,45.59,276234.0,13450.0,104.19,29.18,14.86,59.22,1.56,178.4,2.9,2.23,0.665,4.69,-4.13,-101.0,133179992.7,0.41,-0.34,21.72,51.28,0.1,0.39,99.21,24.69,39.6,8.55,13.9,199225.0,104.4,93.16,57.96,928.6,39780000.0,14.025,16.54,419986.0,13.04,5
100.0,6.36,15413.0,11.24,9.21,116.62,4.83,2.25,7.1,0.06,0.27,110.7,3.38,34229513775.0,3290.0,6.72,5.99,95210004.0,81.0,1.88,7.37,28.84,68.38,44.875,13019705.0,91605.6,105.32,30.3,22.42,43.59,0.92,75.56,53.4,3.265,0.665,4.69,-4.13,-15223.0,480160003.65,0.12,2.7,21.72,50.03,0.1,0.22,97.09,23.78,61.0,8.55,13.9,1735323.5,99.91,95.23,55.27,8.96,72600000.0,14.025,11.47,16250768.0,66.96,5
100.0,1.74,15844.0,4.38,0.2,72.91,3.35,34.89,199.76,10.68,18.0,78.34,3.38,1834796402.0,17890.0,22.195,5.99,95210004.0,77.0,42.61,11.38,63.79,73.28,47.33,100490.0,610.0,89.65,32.68,7.83,36.03,1.495,95.63,17.4,5.68,0.665,4.69,-4.13,0.0,99949996.95,1.63,0.23,21.72,50.49,0.4,0.55,97.09,11.11,9.7,8.55,13.9,145625.0,99.91,95.23,55.27,350.68,2390000.0,14.025,6.035,34026.0,17.93,5
100.0,6.56,15844.0,2.57,0.34,104.94,3.99,34.89,92.2,11.86,12.4,105.58000000000001,3.38,4444000000.0,16040.0,22.195,5.99,95210004.0,89.0,42.61,24.14,43.82,65.07,44.32,45794.0,350.0,105.97,30.3,22.42,57.73,1.495,79.93,15.4,3.265,0.665,4.69,-4.13,-224.0,480160003.65,0.57,-0.4,21.72,50.355000000000004,0.4,0.91,97.09,23.78,5.9,8.55,13.9,4192.0,99.91,95.23,55.27,472.28,62150000.0,14.025,13.93,101678.0,4.95,5
100.0,0.48,27092.68,0.8,0.3,101.75,2.87,29.5,102.32,20.74,21.6,98.72,3.38,11368900000.0,27240.0,9.25,5.99,354749.0,82.0,43.45,11.22,64.29,77.1,48.25,230610.0,10010.0,91.86,36.41,27.77,35.41,1.495,97.42,13.1,3.265,0.665,4.69,-4.13,485.0,480160003.65,0.3,0.35,21.72,52.19,1.0,0.98,97.09,17.95,1.1,8.55,13.9,67855.0,93.82,95.23,55.27,2686.89,62150000.0,14.025,11.69,340051.0,8.64,5
100.0,11.44,57871.0,3.09,18.95,104.17,3.06,10.56,92.2,9.77,9.94,109.2,3.38,425000000000.0,15360.0,10.85,3.17,645859214.0,96.0,19.3,31.19,52.455,70.12,44.875,4154629.0,995450.0,122.85,31.4,22.73,27.26,1.12,94.68,18.7,1.93,0.665,4.69,-4.13,-563.5,480160003.65,0.96,1.66,24.44,49.42,0.1,0.25,97.47,27.7,6.1,8.55,13.9,1735323.5,99.75,85.59,55.27,38.68,62150000.0,14.025,7.44,4022829.0,28.32,5
100.0,28.66,15844.0,10.295,3.5999999999999996,118.07,7.48,5.0,19.07,0.03,0.12,119.32,0.01,2775798697.0,870.0,12.57,0.25,52895.0,90.0,23.82,10.6,52.455,78.45,51.1,5311768.0,25680.0,130.35,7.02,2.79,42.8,2.04,61.67,52.3,3.265,0.665,4.69,-4.13,-14415.0,608239990.2,1.63,2.67,21.72,50.35,0.9,0.26,97.09,38.21,83.1,8.55,13.9,10786763.0,99.91,95.23,55.27,6.53,28620000.0,10.97,1.11,1764450.0,90.49,5
