Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Vitamin A (IU),Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Manganese
Haddock,Seafood,0.014,90.0,0.0,0.066,3e-05,0.55,0.0,1.3e-05,0.0002099999999999,0.026,0.07,0.0,0.278,0.2,0.351,20.0,0.11,3.2e-05,0.261,62.0,2.1e-05,2e-05,2.1e-06,7.000000000000001e-05,0.0040999999999999,0.00049,0.00033,0.0,0.0004,1e-05
Herring,Seafood,0.074,203.0,0.0,0.077,0.0001199999999999,12.0,0.0,1.2e-05,0.0014,0.041,4.8,0.0,0.303,2.7,0.419,23.0,2.6,4.7e-05,0.115,120.0,3.6e-05,0.00011,1.3e-05,0.0003,0.0040999999999999,0.00074,0.00035,0.0007,0.0013,4e-05
Mackerel,Seafood,0.015,262.0,0.0,0.075,8.999999999999999e-05,18.0,0.0,2e-06,0.0016,0.097,7.0,0.0,0.278,4.3,0.401,24.0,4.2,5.2e-05,0.083,180.0,5.4e-05,0.00016,1.9e-05,0.00041,0.0069,0.00099,0.00046,0.0004,0.00094,2e-05
Mullet fish,Seafood,0.031,150.0,0.0,0.063,0.00014,4.9,0.0,1e-05,0.0014,0.033,1.4,0.0,0.244,0.92,0.458,25.0,1.4,4.7e-05,0.071,141.0,4.2e-05,0.0001,2.5e-07,0.0001,0.0063,0.00088,0.00049,0.0012,0.00088,2e-05
Perch,Seafood,0.102,117.0,0.0,0.115,0.00019,1.2,0.0,6e-06,0.0012,0.038,0.2,0.0,0.257,0.47,0.344,25.0,0.24,1.6e-05,0.079,32.0,1e-05,8e-05,2.2e-06,0.0001199999999999,0.0019,0.00087,0.00014,0.0017,0.0014,0.0009
Alaska pollock,Seafood,0.072,111.0,0.0,0.086,6e-05,1.2,0.0,3e-06,0.00056,0.081,0.13,0.0,0.267,0.58,0.43,23.0,0.16,4.4e-05,0.419,51.0,1.7e-05,5e-05,3.7e-06,0.00022,0.0039,0.00043,0.00033,0.0,0.00057,2e-05
Pompano,Seafood,0.043,211.0,0.0,0.064,8e-05,12.0,0.0,1.7e-05,0.00067,0.031,3.3,0.0,0.341,1.5,0.636,24.0,4.5,4.7e-05,0.076,120.0,3.6e-05,0.00068,1.2e-06,0.00015,0.0038,0.00087,0.00023,0.0,0.00069,3e-05
Rockfish,Seafood,0.017,109.0,0.0,0.061,4e-05,1.6,0.0,1e-05,0.0003599999999999,0.033,0.47,0.0,0.248,0.49,0.467,22.0,0.42,7.6e-05,0.089,16.0,5e-06,3e-05,1.6e-06,0.00023,0.0029,0.0004,0.0002399999999999,0.0,0.00043,1e-05
Smoked salmon,Seafood,0.011,117.0,0.0,0.023,0.00023,4.3,0.0,2e-06,0.00085,0.018,2.0,0.0,0.164,1.0,0.175,18.0,0.93,3.2e-05,0.672,87.0,2.6e-05,2e-05,3.3e-06,0.0001,0.0047,0.00087,0.00028,0.0,0.00031,2e-05
Sockeye salmon,Seafood,0.011,156.0,0.0,0.061,8e-05,5.6,0.0,7e-06,0.00052,0.036,1.9,0.0,0.305,1.3,0.436,26.0,0.97,3.6e-05,0.092,193.0,5.8e-05,0.00016,4.5e-06,0.00025,0.01,0.0013,0.00083,0.0,0.00055,1e-05
Sardine,Seafood,0.382,208.0,0.0,0.142,0.00019,11.0,0.0,1e-05,0.0029,0.039,3.9,0.0,0.49,5.1,0.397,25.0,1.5,5.3e-05,0.307,108.0,3.2e-05,8e-05,8.900000000000001e-06,0.00023,0.0052,0.00064,0.00017,0.0,0.0013,0.00011
Shark,Seafood,0.05,228.0,6.4,0.059,4e-05,14.0,0.0,1.5e-05,0.0011,0.043,5.9,6.4,0.194,3.7,0.155,19.0,3.2,3.4e-05,0.122,180.0,5.4e-05,7.000000000000001e-05,1.2e-06,0.0001,0.0028,0.00062,0.0003,0.0,0.0004799999999999,5e-05
Sheepshead,Seafood,0.037,126.0,0.0,0.064,0.0001199999999999,1.6,0.0,1.7e-05,0.00067,0.035,0.35,0.0,0.35,0.38,0.512,26.0,0.36,5.1e-05,0.073,115.0,3.5e-05,1e-05,2.3e-06,5e-05,0.0018,0.00087,0.00035,0.0,0.00063,2e-05
Smelt,Seafood,0.077,124.0,0.0,0.09,0.0001799999999999,3.1,0.0,5e-06,0.0012,0.038,0.82,0.0,0.295,1.1,0.372,23.0,0.58,4.7e-05,0.077,58.0,1.7e-05,1e-05,4e-06,0.00015,0.0018,0.00074,0.00017,0.0,0.0021,0.0009
Snapper,Seafood,0.04,128.0,0.0,0.047,5e-05,1.7,0.0,6e-06,0.0002399999999999,0.037,0.32,0.0,0.201,0.59,0.522,26.0,0.37,4.9e-05,0.057,115.0,3.5e-05,5e-05,3.5e-06,0.0,0.00035,0.00087,0.00046,0.0016,0.00044,2e-05
Sturgeon,Seafood,0.017,135.0,0.0,0.077,5e-05,5.2,0.0,1.7e-05,0.0009,0.045,2.5,0.0,0.271,0.89,0.364,21.0,1.2,1.6e-05,0.069,875.0,0.000263,8e-05,2.5e-06,8.999999999999999e-05,0.01,0.00087,0.00023,0.0,0.00054,3e-05
Surimi,Seafood,0.009,99.0,6.9,0.03,3e-05,0.9,0.0,2e-06,0.00026,0.043,0.15,6.9,0.282,0.44,0.112,15.0,0.19,2.8e-05,0.143,67.0,2e-05,2e-05,1.6e-06,2e-05,0.00022,7.000000000000001e-05,3e-05,0.0,0.00033,1e-05
Swordfish,Seafood,0.006,172.0,0.0,0.078,5e-05,7.9,0.0,2e-06,0.00045,0.035,3.5,0.0,0.304,1.4,0.499,23.0,1.9,6.9e-05,0.097,129.0,4.3e-05,8.999999999999999e-05,1.6e-06,6e-05,0.0093,0.0004199999999999,0.00062,0.0,0.00078,1e-05
Tilefish,Seafood,0.026,147.0,0.0,0.064,5e-05,4.7,0.0,1.7e-05,0.00031,0.033,1.3,0.0,0.236,1.2,0.512,24.0,0.87,5.2e-05,0.059,69.0,2.1e-05,0.00014,2.5e-06,0.00019,0.0035,0.00087,0.0003,0.0,0.00053,2e-05
Tuna salad,Seafood,0.017,187.0,9.4,0.013,0.00015,9.3,0.0,8e-06,0.001,0.019,2.9,9.4,0.178,4.1,0.178,16.0,1.5,4.1e-05,0.402,97.0,2.4e-05,3e-05,1.2e-06,7.000000000000001e-05,0.0067,0.00026,8e-05,0.0022,0.00056,4e-05
Whiting,Seafood,0.062,116.0,0.0,0.084,4e-05,1.7,0.0,1.5e-05,0.0004199999999999,0.027,0.45,0.0,0.285,0.59,0.434,23.0,0.4,4.1e-05,0.132,128.0,3.8e-05,7.000000000000001e-05,2.6e-06,6e-05,0.0017,0.00025,0.0001799999999999,0.0,0.00053,0.00013
Crab meat,Seafood,0.059,97.0,0.0,0.053,0.0012,1.5,0.0,5.1e-05,0.00076,0.063,0.19,0.0,0.28,0.54,0.262,19.0,0.13,4e-05,1.072,29.0,9e-06,5e-05,1.2e-05,6e-05,0.0013,0.0004,0.0001799999999999,0.0076,0.0076,4e-05
Crab stick,Seafood,0.013,95.0,15.0,0.02,3e-05,0.46,0.5,0.0,0.00039,0.043,0.28,15.0,0.282,0.14,0.09,7.6,0.22,2.2e-05,0.529,0.0,0.0,3e-05,5.699999999999999e-07,8e-05,0.00062,0.0,0.00013,0.0,0.00033,1e-05
Crab,Seafood,0.091,83.0,0.0,0.097,0.00081,0.74,0.0,5.1e-05,0.0005,0.036,0.13,0.0,0.234,0.26,0.259,18.0,0.2,4.3e-05,0.563,2.0,1e-06,2e-05,3.3e-06,8.999999999999999e-05,0.0027,0.001,0.00016,0.0033,0.0038,7.000000000000001e-05
Crayfish,Seafood,0.06,82.0,0.0,0.133,0.00069,1.2,0.0,4.4e-05,0.00083,0.033,0.24,0.0,0.27,0.37,0.296,17.0,0.18,3.7e-05,0.094,50.0,1.5e-05,5e-05,2.2e-06,8.999999999999999e-05,0.0023,0.00058,8e-05,0.0009,0.0018,0.00052
Lobster,Seafood,0.096,89.0,0.0,0.146,0.0016,0.86,0.0,1.1e-05,0.00029,0.043,0.25,0.0,0.185,0.34,0.23,19.0,0.21,7.3e-05,0.486,4.0,1e-06,2e-05,1.4e-06,2e-05,0.0018,0.0017,0.0001199999999999,0.0,0.0040999999999999,7.000000000000001e-05
Shrimp,Seafood,0.091,119.0,1.5,0.211,0.00026,1.7,0.0,2.4e-05,0.00032,0.037,0.36,1.5,0.306,0.59,0.17,23.0,0.52,5e-05,0.947,301.0,9e-05,3e-05,1.7e-06,2e-05,0.0027,0.00052,0.0002399999999999,0.0,0.0016,5e-05
Abalone,Seafood,0.037,189.0,11.0,0.094,0.00023,6.8,0.0,1.4e-05,0.0038,0.056,2.7,11.0,0.217,1.7,0.284,20.0,1.6,5.2e-05,0.591,5.0,2e-06,0.00022,6.9e-07,0.00013,0.0019,0.0029,0.00015,0.0018,0.00095,7.000000000000001e-05
Clam,Seafood,0.092,148.0,5.1,0.067,0.00069,2.0,0.0,2.9e-05,0.0028,0.018,0.17,5.1,0.338,0.55,0.628,26.0,0.19,6.4e-05,1.202,570.0,0.000171,0.00015,9.9e-05,0.00043,0.0034,0.00068,0.00011,0.022,0.0027,0.001
Cuttlefish,Seafood,0.09,79.0,0.82,0.112,0.0005899999999999,0.7,0.0,1.6e-05,0.006,0.03,0.08,0.82,0.387,0.13,0.354,16.0,0.12,4.5e-05,0.372,375.0,0.000113,1e-05,3e-06,0.00091,0.0012,0.0005,0.00015,0.0053,0.0017,0.00011
Mussels,Seafood,0.033,172.0,7.4,0.056,0.00015,4.5,0.0,7.6e-05,0.0067,0.037,1.0,7.4,0.285,1.2,0.268,24.0,0.85,9e-05,0.369,304.0,9.1e-05,0.0003,2.4e-05,0.0004199999999999,0.003,0.00095,0.0001,0.014,0.0027,0.0068
Oysters,Seafood,0.116,102.0,5.5,0.079,0.0057,3.4,0.0,1.4e-05,0.0092,0.035,0.51,5.5,0.194,1.1,0.139,11.0,0.95,4e-05,0.166,88.0,2.6e-05,4e-05,1.8e-05,0.0001799999999999,0.0019,0.00045,6e-05,0.0,0.079,0.0005899999999999
Whelk,Seafood,0.113,275.0,16.0,0.13,0.0021,0.8,0.0,1.1e-05,0.01,0.172,0.06,16.0,0.282,0.05,0.694,48.0,0.06,9e-05,0.412,162.0,4.9e-05,5e-05,1.8e-05,0.0002099999999999,0.002,0.0004,0.00065,0.0068,0.0033,0.00089
Bass,Seafood,0.019,124.0,0.0,0.103,4e-05,3.0,0.0,1e-05,0.0011,0.051,0.85,0.0,0.254,1.0,0.328,23.0,0.65,4.7e-05,0.088,104.0,3.1e-05,0.0001199999999999,4.4e-06,4e-05,0.0026,0.00087,0.00035,0.0,0.00051,2e-05
Bluefish,Seafood,0.009,159.0,0.0,0.076,7.000000000000001e-05,5.4,0.0,2e-06,0.00062,0.042,2.3,0.0,0.291,1.4,0.477,26.0,1.2,4.7e-05,0.077,459.0,0.000138,7.000000000000001e-05,6.2e-06,0.0001,0.0072,0.0009599999999999,0.00046,0.0,0.001,3e-05
Burbot,Seafood,0.064,115.0,0.0,0.077,0.00026,1.0,0.0,1e-06,0.0012,0.041,0.17,0.0,0.256,0.38,0.518,25.0,0.21,1.6e-05,0.124,17.0,5e-06,0.00043,9.2e-07,0.00017,0.002,0.00017,0.00035,0.0,0.0009699999999999,0.0009
Butterfish,Seafood,0.028,187.0,0.0,0.083,7.000000000000001e-05,10.0,0.0,1.7e-05,0.00064,0.032,,0.0,0.308,,0.481,22.0,,4.7e-05,0.114,109.0,3.3e-05,0.00015,1.8e-06,0.00019,0.0058,0.00087,0.00035,0.0,0.00099,2e-05
Mahimahi,Seafood,0.019,109.0,0.0,0.094,5e-05,0.9,0.0,6e-06,0.0015,0.038,0.16,0.0,0.183,0.21,0.533,24.0,0.24,4.7e-05,0.113,208.0,6.2e-05,2e-05,6.9e-07,8.999999999999999e-05,0.0074,0.00087,0.00046,0.0,0.0005899999999999,2e-05
Drum fish,Seafood,0.077,153.0,0.0,0.082,0.0003,6.3,0.0,1.7e-05,0.0012,0.038,2.8,0.0,0.231,1.5,0.353,22.0,1.4,1.6e-05,0.096,196.0,5.9e-05,8e-05,2.3e-06,0.0002099999999999,0.0029,0.00087,0.00035,0.001,0.00085,0.0009
Halibut,Seafood,0.004,239.0,0.0,0.059,4e-05,18.0,0.0,1e-06,0.00085,0.033,11.0,0.0,0.21,1.8,0.344,18.0,3.1,4.7e-05,0.103,60.0,1.8e-05,7.000000000000001e-05,9.6e-07,0.0001,0.0019,0.00029,0.00049,0.0,0.00051,2e-05
Ling fish,Seafood,0.044,111.0,0.0,0.051,0.00014,0.82,0.0,8e-06,0.00083,0.081,,0.0,0.254,,0.486,24.0,,4.7e-05,0.173,115.0,3.5e-05,0.00013,6.5e-07,0.00023,0.0028,0.00037,0.00035,0.0,0.001,4e-05
Lingcod,Seafood,0.018,109.0,0.0,0.067,4e-05,1.4,0.0,1e-05,0.00041,0.033,0.45,0.0,0.258,0.38,0.56,23.0,0.26,4.7e-05,0.076,58.0,1.7e-05,4e-05,4.2e-06,0.00014,0.0023,0.00087,0.00035,0.0,0.00058,3e-05
Milkfish,Seafood,0.065,190.0,0.0,0.067,4e-05,8.6,0.0,1.8e-05,0.00041,0.038,,0.0,0.208,,0.374,26.0,,1.6e-05,0.092,109.0,3.3e-05,2e-05,3.3e-06,7.000000000000001e-05,0.0083,0.00087,0.00049,0.0,0.0011,3e-05
Monkfish,Seafood,0.01,97.0,0.0,0.032,4e-05,2.0,0.0,8e-06,0.00041,0.027,,0.0,0.256,,0.513,19.0,,4.7e-05,0.023,46.0,1.4e-05,3e-05,1e-06,7.000000000000001e-05,0.0026,0.00017,0.00028,0.001,0.00053,3e-05
Pacific saury,Seafood,0.141,119.0,0.0,0.11,0.00023,1.6,0.0,1.7e-05,0.0017,0.038,0.38,0.0,0.269,0.57,0.499,25.0,0.32,1.6e-05,0.065,81.0,2.4e-05,0.00031,2.3e-06,0.0002,0.0028,0.00087,0.00014,0.0,0.00079,0.001
Roe,Seafood,0.028,204.0,1.9,0.479,0.00013,8.2,0.0,9.2e-05,0.00077,0.026,2.1,1.9,0.515,3.4,0.283,29.0,1.9,5.2e-05,0.117,303.0,9.1e-05,0.00028,1.2e-05,0.00095,0.0022,0.0012,0.00019,0.016,0.0013,1e-05
Sablefish,Seafood,0.045,250.0,0.0,0.063,3e-05,20.0,0.0,1.7e-05,0.0016,0.071,10.0,0.0,0.215,2.6,0.459,17.0,4.1,4.7e-05,0.072,338.0,0.000102,0.0001199999999999,1.4e-06,0.0001199999999999,0.0050999999999999,0.00087,0.00035,0.0,0.00041,2e-05
Chinook salmon,Seafood,0.028,231.0,0.0,0.085,5e-05,13.0,0.0,3.5e-05,0.00091,0.122,5.7,0.0,0.371,2.7,0.505,26.0,3.2,4.7e-05,0.06,496.0,0.000149,4e-05,2.9e-06,0.00015,0.01,0.00087,0.00046,0.0040999999999999,0.00056,2e-05
Scup,Seafood,0.051,135.0,0.0,0.067,7.000000000000001e-05,3.5,0.0,1.7e-05,0.00068,0.029,,0.0,0.237,,0.368,24.0,,4.7e-05,0.054,104.0,3.1e-05,0.00013,1.6e-06,0.0001199999999999,0.005,0.00087,0.00035,0.0,0.00062,5e-05
Seatrout,Seafood,0.022,133.0,0.0,0.106,4e-05,4.6,0.0,6e-06,0.00035,0.04,1.1,0.0,0.321,0.93,0.437,21.0,1.3,4.7e-05,0.074,115.0,3.5e-05,7.000000000000001e-05,3.5e-06,0.0002099999999999,0.0029,0.00087,0.00046,0.0,0.00058,2e-05
Shad,Seafood,0.06,252.0,0.0,0.096,8e-05,18.0,0.0,1.7e-05,0.0012,0.038,,0.0,0.349,,0.492,22.0,,4.7e-05,0.065,120.0,3.6e-05,0.0001799999999999,1.4e-07,0.00031,0.011,0.00087,0.00046,0.0,0.00047,5e-05
Sucker fish,Seafood,0.09,119.0,0.0,0.053,0.00025,3.0,0.0,1.7e-05,0.0017,0.038,0.91,0.0,0.269,1.0,0.487,21.0,0.58,1.6e-05,0.051,196.0,5.9e-05,1e-05,2.3e-06,8.999999999999999e-05,0.0015,0.00087,0.00023,0.0,0.0009599999999999,0.00077
Sunfish,Seafood,0.103,114.0,0.0,0.086,0.00039,0.9,0.0,1.7e-05,0.0015,0.038,0.15,0.0,0.231,0.32,0.449,25.0,0.18,1.6e-05,0.103,58.0,1.7e-05,8.999999999999999e-05,2.3e-06,8.999999999999999e-05,0.0015,0.00087,0.00014,0.001,0.002,0.0009
Skipjack tuna,Seafood,0.037,132.0,0.0,0.06,0.00011,1.3,0.0,1e-05,0.0016,0.044,0.24,0.0,0.285,0.4,0.522,28.0,0.42,4.7e-05,0.047,60.0,1.8e-05,4e-05,2.2e-06,0.0001199999999999,0.019,0.00049,0.00098,0.001,0.0011,2e-05
Tuna,Seafood,0.004,130.0,0.0,0.047,4e-05,0.59,0.0,2e-06,0.00092,0.042,0.14,0.0,0.333,0.18,0.527,29.0,0.21,0.000108,0.054,65.0,2.2e-05,0.00013,2.4e-06,0.00014,0.022,0.00033,0.001,0.0,0.00045,1e-05
Turbot,Seafood,0.023,122.0,0.0,0.062,5e-05,3.8,0.0,9e-06,0.00046,0.065,,0.0,0.165,,0.305,21.0,,4.7e-05,0.192,40.0,1.2e-05,8e-05,2.5e-06,0.0001,0.0027,0.00066,0.0002399999999999,0.0017,0.00028,2e-05
Whitefish,Seafood,0.033,172.0,0.0,0.077,8.999999999999999e-05,7.5,0.0,1.7e-05,0.00047,0.042,2.6,0.0,0.346,2.8,0.406,24.0,1.2,1.6e-05,0.065,131.0,3.9e-05,0.00017,9.6e-07,0.00015,0.0038,0.00087,0.00035,0.0,0.0013,8.999999999999999e-05
Wolffish,Seafood,0.008,123.0,0.0,0.059,4e-05,3.1,0.0,6e-06,0.0001199999999999,0.038,1.1,0.0,0.256,1.1,0.385,22.0,0.47,4.7e-05,0.109,433.0,0.00013,0.0002099999999999,2.4e-06,0.0001,0.0026,0.00066,0.00046,0.0,0.001,2e-05
Yellowtail,Seafood,0.029,187.0,0.0,0.071,6e-05,6.7,0.0,4e-06,0.00063,0.038,,0.0,0.201,,0.538,30.0,,4.7e-05,0.05,104.0,3.1e-05,0.0001799999999999,1.3e-06,5e-05,0.0087,0.00068,0.00019,0.0029,0.00067,2e-05
Squid,Seafood,0.18,158.0,1.6,0.224,0.001,1.4,0.0,2.4e-05,0.011,0.06,0.16,1.6,0.58,0.27,0.637,32.0,0.24,9e-05,0.744,675.0,0.000203,2e-05,5.4e-06,0.0017,0.0022,0.0009,0.00027,0.0085,0.0035,0.0002099999999999
Octopus,Seafood,0.106,164.0,4.4,0.096,0.00074,2.1,0.0,2.4e-05,0.0095,0.06,0.32,4.4,0.279,0.48,0.63,30.0,0.45,9e-05,0.46,300.0,9e-05,6e-05,3.6e-05,8e-05,0.0038,0.0009,0.00065,0.008,0.0034,5e-05
Orange roughy,Seafood,0.011,105.0,0.0,0.08,8e-05,0.9,0.0,5e-06,0.0011,0.018,0.44,0.0,0.102,0.18,0.181,23.0,0.03,8.8e-05,0.069,80.0,2.4e-05,5e-05,4.7000000000000005e-07,6e-05,0.0018,6e-05,7.000000000000001e-05,0.0,0.00032,4e-05
Catfish,Seafood,0.009,144.0,0.0,0.066,4e-05,7.2,0.0,1.2e-05,0.00028,0.023,3.1,0.0,0.247,1.4,0.366,18.0,1.6,9.9e-06,0.119,2.0,1e-06,2e-05,2.8e-06,0.0001,0.0025,0.00081,0.0001799999999999,0.0,0.00058,2e-05
Salmon,Seafood,0.015,206.0,0.0,0.063,5e-05,12.0,0.0,3.4e-05,0.00034,0.03,4.2,0.0,0.252,4.6,0.384,22.0,2.4,4.1e-05,0.061,230.0,6.9e-05,0.00034,2.8e-06,0.00014,0.008,0.0015,0.00065,0.0037,0.00043,2e-05
Trout,Seafood,0.03,168.0,0.0,0.07,6e-05,7.4,0.0,1.2e-05,0.0003599999999999,0.03,2.4,0.0,0.27,1.8,0.45,24.0,1.7,2.8e-05,0.061,301.0,0.0001,0.00014,4.1e-06,0.00011,0.0066,0.002,0.00039,0.0029,0.00054,1e-05
Tilapia,Seafood,0.014,128.0,0.0,0.057,8e-05,2.7,0.0,6e-06,0.00069,0.034,0.96,0.0,0.204,0.6,0.38,26.0,0.94,5.4e-05,0.056,0.0,0.0,8.999999999999999e-05,1.9e-06,7.000000000000001e-05,0.0047,0.00066,0.0001199999999999,0.0,0.00041,4e-05
Cockles,Seafood,0.03,79.0,4.7,,,0.7,,,0.016,,,4.7,,,,14.0,,,,,,1e-05,,0.0002,0.0032,,,,,
Devilfish,Seafood,0.012,97.0,0.0,,,5.3,,,0.0004,,,0.0,0.003,,,12.0,,,,1020.0,,8.999999999999999e-05,,0.0001,0.0011,,,0.003,,
Pike,Seafood,0.028,156.0,4.3,,,8.0,,,0.0021,,,4.3,0.412,,,17.0,,,,860.0,,0.0001,,0.0007,0.005,,,,,
Sea cucumber,Seafood,0.03,56.0,0.0,,,0.4,,,0.0006,,,0.0,,,,13.0,,,,310.0,,5e-05,,0.00094,0.0032,,,,,
Steelhead trout,Seafood,0.03,159.0,0.0,0.059,6e-05,8.3,0.0,,0.00064,0.025,2.2,0.0,0.249,1.2,0.365,21.0,1.5,2.6e-05,0.118,65.0,2e-05,,5.8e-06,,,,,0.0,0.00057,1e-05
Scallop,Seafood,0.01,111.0,5.4,0.041,3e-05,0.84,0.0,2e-05,0.00058,0.037,0.08,5.4,0.426,0.22,0.314,21.0,0.22,2.2e-05,0.667,5.0,2e-06,1e-05,2.2e-06,2e-05,0.0011,0.00037,0.00011,0.0,0.0016,3e-05
Blue cheese,Dairy,0.528,353.0,2.3,0.075,4e-05,29.0,0.0,3.6e-05,0.00031,0.023,7.8,2.3,0.387,0.8,0.256,21.0,19.0,1.5e-05,1.146,721.0,0.000198,3e-05,1.2e-06,0.00038,0.001,0.0017,0.00017,0.0,0.0027,1e-05
Brie,Dairy,0.184,334.0,0.45,0.1,2e-05,28.0,0.0,6.5e-05,0.0005,0.02,8.0,0.45,0.188,0.83,0.152,21.0,17.0,1.5e-05,0.629,592.0,0.000174,7.000000000000001e-05,1.7e-06,0.00052,0.00038,0.00069,0.0002399999999999,0.0,0.0024,3e-05
Camembert,Dairy,0.388,300.0,0.46,0.072,2e-05,24.0,0.0,6.2e-05,0.00033,0.02,7.0,0.46,0.347,0.72,0.187,20.0,15.0,1.5e-05,0.842,820.0,0.000241,3e-05,1.3e-06,0.00049,0.00063,0.0014,0.00023,0.0,0.0024,4e-05
Cheese,Dairy,0.71,404.0,3.1,0.099,3e-05,33.0,0.0,2.7e-05,0.00014,0.027,9.2,3.1,0.455,1.4,0.076,23.0,19.0,2.9e-05,0.653,1242.0,0.00033,3e-05,1.1e-06,0.00043,6e-05,0.00041,7.000000000000001e-05,0.0,0.0036,3e-05
Cottage cheese,Dairy,0.083,98.0,3.4,0.017,3e-05,4.3,0.0,1.2e-05,7.000000000000001e-05,0.008,0.78,3.4,0.159,0.12,0.104,11.0,1.7,9.7e-06,0.364,140.0,3.7e-05,3e-05,4.3e-07,0.00016,0.0001,0.00056,5e-05,0.0,0.0004,0.0
Cream cheese,Dairy,0.097,350.0,5.5,0.101,2e-05,34.0,0.0,9e-06,0.00011,0.009,8.9,5.5,0.107,1.5,0.132,6.2,20.0,8.599999999999999e-06,0.314,1111.0,0.000308,2e-05,2.2e-07,0.00023,8.999999999999999e-05,0.00052,6e-05,0.0,0.0005,1e-05
Edam,Dairy,0.731,357.0,1.4,0.089,4e-05,28.0,0.0,1.6e-05,0.00044,0.03,8.1,1.4,0.536,0.67,0.188,25.0,18.0,1.5e-05,0.812,825.0,0.000243,4e-05,1.5e-06,0.00039,8e-05,0.00028,8e-05,0.0,0.0038,1e-05
Feta,Dairy,0.493,264.0,4.1,0.089,3e-05,21.0,0.0,3.2e-05,0.00065,0.019,4.6,4.1,0.337,0.59,0.062,14.0,15.0,1.5e-05,0.917,422.0,0.000125,0.00015,1.7e-06,0.0008399999999999,0.00099,0.0009699999999999,0.0004199999999999,0.0,0.0029,3e-05
Fontina,Dairy,0.55,389.0,1.6,0.116,3e-05,31.0,0.0,6e-06,0.00023,0.014,8.7,1.6,0.346,1.7,0.064,26.0,19.0,1.5e-05,0.8,913.0,0.000261,2e-05,1.7e-06,0.0002,0.00015,0.00043,8e-05,0.0,0.0035,1e-05
Brunost,Dairy,0.4,466.0,43.0,0.094,8e-05,30.0,0.0,5e-06,0.00052,0.07,7.9,43.0,0.444,0.94,1.409,9.7,19.0,1.5e-05,0.6,1113.0,0.000334,0.00032,2.4e-06,0.0014,0.00081,0.0034,0.00027,0.0,0.0011,4e-05
Gouda cheese,Dairy,0.7,356.0,2.2,0.114,4e-05,27.0,0.0,2.1e-05,0.0002399999999999,0.029,7.7,2.2,0.546,0.66,0.121,25.0,18.0,1.5e-05,0.819,563.0,0.000165,3e-05,1.5e-06,0.00033,6e-05,0.00034,8e-05,0.0,0.0039,1e-05
Gruyere cheese,Dairy,1.011,413.0,0.36,0.11,3e-05,32.0,0.0,1e-05,0.00017,0.036,10.0,0.36,0.605,1.7,0.081,30.0,19.0,1.5e-05,0.714,948.0,0.000271,6e-05,1.6e-06,0.00028,0.00011,0.00056,8e-05,0.0,0.0039,2e-05
Limburger,Dairy,0.497,327.0,0.49,0.09,2e-05,27.0,0.0,5.8e-05,0.00013,0.021,8.6,0.49,0.393,0.5,0.128,20.0,17.0,1.5e-05,0.8,1155.0,0.00034,8e-05,1e-06,0.0005,0.00016,0.0012,8.999999999999999e-05,0.0,0.0021,4e-05
Monterey Jack,Dairy,0.746,373.0,0.68,0.089,3e-05,30.0,0.0,1.8e-05,0.0007199999999999,0.027,8.8,0.68,0.444,0.9,0.081,24.0,19.0,1.5e-05,0.6,769.0,0.000198,2e-05,8.3e-07,0.00039,8.999999999999999e-05,0.0002099999999999,8e-05,0.0,0.003,1e-05
Muenster cheese,Dairy,0.717,368.0,1.1,0.096,3e-05,30.0,0.0,1.2e-05,0.00041,0.027,8.7,1.1,0.468,0.66,0.134,23.0,19.0,1.5e-05,0.628,1012.0,0.000298,1e-05,1.5e-06,0.00032,0.0001,0.00019,6e-05,0.0,0.0028,1e-05
Neufchâtel cheese,Dairy,0.117,253.0,3.6,0.074,3e-05,23.0,0.0,1.4e-05,0.00013,0.01,5.8,3.6,0.138,0.97,0.152,9.2,13.0,3e-06,0.334,841.0,0.000241,2e-05,3e-07,0.00016,0.0002099999999999,0.00058,4e-05,0.0,0.00082,1e-05
Port Salut,Dairy,0.65,352.0,0.57,0.123,2e-05,28.0,0.0,1.8e-05,0.00043,0.024,9.3,0.57,0.36,0.73,0.136,24.0,17.0,1.5e-05,0.534,1092.0,0.000315,1e-05,1.5e-06,0.0002399999999999,6e-05,0.0002099999999999,5e-05,0.0,0.0026,1e-05
Provolone,Dairy,0.756,351.0,2.1,0.069,3e-05,27.0,0.0,1e-05,0.00052,0.028,7.4,2.1,0.496,0.77,0.138,26.0,17.0,1.5e-05,0.876,880.0,0.000236,2e-05,1.5e-06,0.00032,0.00016,0.0004799999999999,7.000000000000001e-05,0.0,0.0032,1e-05
Ricotta,Dairy,0.207,174.0,3.0,0.051,2e-05,13.0,0.0,1.2e-05,0.00038,0.011,3.6,3.0,0.158,0.39,0.105,11.0,8.3,1.5e-05,0.084,445.0,0.00012,1e-05,3.400000000000001e-07,0.0002,0.0001,0.0002099999999999,4e-05,0.0,0.0012,1e-05
