Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Vitamin A (IU),Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Manganese
Lime,Fruits,0.033,30.0,11.0,0.0,7.000000000000001e-05,0.2,2.8,8e-06,0.0006,0.006,0.02,7.7,0.018,0.06,0.102,0.7,0.02,4.0000000000000003e-07,0.002,50.0,2e-06,3e-05,0.0,2e-05,0.0002,0.00022,4e-05,0.029,0.00011,1e-05
Lychee,Fruits,0.005,66.0,17.0,0.0,0.00015,0.44,1.3,1.4e-05,0.00031,0.01,0.12,15.0,0.031,0.13,0.171,0.83,0.1,6e-07,0.001,0.0,0.0,1e-05,0.0,7.000000000000001e-05,0.0006,,0.0001,0.072,7.000000000000001e-05,6e-05
Loganberries,Fruits,0.026,55.0,13.0,0.0,0.0001199999999999,0.31,5.3,2.6e-05,0.00064,0.021,0.03,7.7,0.026,0.18,0.145,1.5,0.01,2.0000000000000002e-07,0.001,35.0,2e-06,5e-05,0.0,3e-05,0.0008399999999999,0.0002399999999999,7.000000000000001e-05,0.015,0.00034,0.0012
Longan,Fruits,0.001,60.0,15.0,0.0,0.00017,0.1,1.1,,0.00013,0.01,,14.0,0.021,,0.266,1.3,,,0.0,,,3e-05,0.0,0.00014,0.0003,,,0.084,5e-05,5e-05
Loquat,Fruits,0.016,47.0,12.0,0.0,4e-05,0.2,1.7,1.4e-05,0.00028,0.013,0.01,10.0,0.027,0.09,0.266,0.43,0.04,6e-07,0.001,1528.0,7.6e-05,2e-05,0.0,2e-05,0.0001799999999999,,0.0001,0.001,5e-05,0.00015
Mango,Fruits,0.011,60.0,15.0,0.0,0.00011,0.38,1.6,4.3e-05,0.00016,0.01,0.14,13.0,0.014,0.07,0.168,0.82,0.09,6e-07,0.001,1082.0,5.4e-05,3e-05,0.0,4e-05,0.00067,0.0002,0.0001199999999999,0.036,8.999999999999999e-05,6e-05
Purple mangosteen,Fruits,0.012,73.0,18.0,0.0,7.000000000000001e-05,0.58,1.8,3.1e-05,0.0003,0.013,,16.0,0.008,,0.048,0.41,,,0.007,35.0,2e-06,5e-05,0.0,5e-05,0.00029,3e-05,2e-05,0.0029,0.0002099999999999,0.0001
Cantaloupe,Fruits,0.009,34.0,8.2,0.0,4e-05,0.19,0.9,2.1e-05,0.0002099999999999,0.012,0.0,7.3,0.015,0.08,0.267,0.84,0.05,4.0000000000000003e-07,0.016,3382.0,0.000169,4e-05,0.0,2e-05,0.00073,0.00011,7.000000000000001e-05,0.037,0.0001799999999999,4e-05
Melon,Fruits,0.011,28.0,6.6,0.0,6e-05,0.1,0.9,8e-06,0.00034,0.011,0.0,5.7,0.005,0.04,0.182,1.1,0.03,4.0000000000000003e-07,0.009,0.0,0.0,2e-05,0.0,3e-05,0.00023,8e-05,0.00016,0.022,7.000000000000001e-05,4e-05
Honeydew,Fruits,0.006,36.0,9.1,0.0,2e-05,0.14,0.8,1.9e-05,0.00017,0.01,0.0,8.3,0.011,0.06,0.228,0.54,0.04,7e-07,0.018,50.0,3e-06,4e-05,0.0,1e-05,0.0004199999999999,0.00016,8.999999999999999e-05,0.018,8.999999999999999e-05,3e-05
