Country Name,Country Code,"Population, total",Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Life expectancy at birth, total (years)",GDP (current US$),Tax revenue (% of GDP),Expense (% of GDP),"Central government debt, total (% of GDP)","Inflation, consumer prices (annual %)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Access to electricity (% of population),Fixed broadband subscriptions (per 100 people),"Hospital beds (per 1,000 people)"
Singapore,SGP,5685807,74.69,13.15,83.54,3.49E+11,12.73,25.72,151.57,-0.18,100.54,103.2,93.13,100,26.86,2.63
Sint Maarten (Dutch part),SXM,40350,78.59,8.94,74.58,1236428101,,,,,,,,100,,
Slovak Republic,SVK,5458827,67.33,16.82,76.87,1.07E+11,18.64,29.94,78.33,1.94,99.92,90.81,48.38,100,31.19,5.68
Slovenia,SVN,2102419,64.7,20.1,80.53,53734526854,17.2,32.14,107.43,-0.05,100.23,110.36,75.82,100,30.99,4.25
Solomon Islands,SLB,691191,56.97,3.46,70.2,1536145814,21.05,31.91,11.46,2.96,95.45,,,72.9,0.13,
Somalia,SOM,16537016,50.04,2.62,55.97,9204140383,0,0,,,,,,49.9,0.71,
South Africa,ZAF,58801927,65.26,6,65.25,3.38E+11,22.49,35.14,72.1,3.21,99.74,110.02,25.13,90,2.15,
South Sudan,SSD,10606227,51.7,2.8,55.48,,,,,29.68,,,,7.3,,
Spain,ESP,47365655,65.93,19.67,82.33,1.28E+12,13.57,24.77,134.03,-0.32,103.41,117.37,90.95,100,33.95,2.95
Sri Lanka,LKA,21919000,65.61,10.8,76.39,84304298771,7.78,19.07,,6.15,97.48,,20.81,100,7.9,4.02
St. Kitts and Nevis,KNA,47642,70.78,9.19,71.63,883922222.2,15.04,26.75,,-1.17,,,,100,45.96,4.32
St. Lucia,LCA,179237,72.51,8.92,73.42,1497825994,,,,-1.76,99.33,89.26,16.9,100,19.97,1.74
St. Martin (French part),MAF,32553,66.95,9.85,80.15,,,,,,,,,100,,
St. Vincent and the Grenadines,VCT,104632,67.05,10.67,72.13,869111111.1,,,,-0.63,113.89,127.23,33.9,100,23.89,3.98
Sudan,SDN,44440486,55.48,3.34,65.61,27034593750,,,,163.26,,,,59.7,0.06,0.66
Suriname,SUR,607065,66.12,7.11,72.56,2911807496,,,,34.89,104.96,73.42,,98.4,15.07,2.89
Sweden,SWE,10353442,62.22,20.03,82.36,5.47E+11,26.73,31.31,44.02,0.5,119.5,136.43,79.12,100,40.37,2.05
Switzerland,CHE,8638167,66.21,18.73,83,7.42E+11,9.34,12.83,20.93,-0.73,101.73,104.21,68.07,100,46.48,4.48
Syrian Arab Republic,SYR,20772595,60.98,4.55,72.14,11155888304,,,,,71.19,37.92,,89,7.35,1.39
Tajikistan,TJK,9543207,60.27,3.24,67.99,8133963551,,,,,101.09,87.27,37.23,99.5,0.06,4.36
Tanzania,TZA,61704518,52.99,3.13,66.41,66068737786,11.63,14.29,,3.29,95.88,30.72,7.51,39.9,1.86,0.63
Thailand,THA,71475664,70.08,13.85,79.27,5E+11,14.46,21.67,,-0.85,104.68,108.78,43.11,100,16.02,2.33
Timor-Leste,TLS,1299995,58.68,5.37,68.48,2162619200,12.64,52.19,,,110.75,85.21,,96,0.01,
Togo,TGO,8442580,56.44,3.06,61.04,7400284168,12.87,14.4,,1.7,123.54,,15.07,54.1,0.61,
Tonga,TON,105254,58.74,6.18,70.93,484796854.9,21.3,32.9,45.02,-0.35,112.25,90.46,21.28,99.9,4.73,
Trinidad and Tobago,TTO,1518147,69.8,10.67,74.41,20807571314,,,,0.6,,,,100,25.44,1.92
Tunisia,TUN,12161723,66.47,8.58,75.29,42491816476,,,,5.63,105.25,,33.13,99.9,11.15,2.38
Turkiye,TUR,83384680,68.11,8.18,75.85,7.2E+11,17.7,26.59,43.18,12.28,103.3,112.53,118.88,100,19.44,2.99
Turkmenistan,TKM,6250438,64.05,4.72,68.69,45818000000,,,,,109.43,88.48,14.35,100,3.4,4.09
Turks and Caicos Islands,TCA,44276,73.21,9.97,75,774653669.3,,,,,122.6,90.96,,99.4,,
Tuvalu,TUV,11069,62.4,5.99,64.38,51746594.31,,,,,94.63,77.39,,99.4,,
Uganda,UGA,44404611,52.67,1.66,62.85,37600368240,11.39,13.67,44.19,3.31,,,,42.1,0.08,
Ukraine,UKR,44207754,67.48,17.19,71.19,1.57E+11,19.15,29.8,57.08,2.73,91.11,84.43,82.13,100,18.62,6.26
United Arab Emirates,ARE,9287289,83.41,1.65,78.95,3.49E+11,0.68,4.62,,-2.08,93.79,83.47,55.75,100,34.35,1.94
United Kingdom,GBR,67081234,63.49,18.72,80.35,2.7E+12,24.77,47.96,196.61,0.99,102.1,114.65,69.53,100,40.58,2.43
United States,USA,331526933,65.27,16.22,76.98,2.13E+13,10.21,19.61,124.73,1.23,100.31,100.51,87.57,100,35.72,2.74
Uruguay,URY,3429086,64.87,15.34,78.43,53668636568,18.51,24.92,62.38,9.76,105.24,116.99,64.93,100,31.29,2.49
Uzbekistan,UZB,34232050,65.36,4.87,70.33,60224701297,14.78,17.28,,12.87,98.62,90.06,15.97,100,15.81,4.78
Vanuatu,VUT,311685,56.53,3.71,70.3,909421043.5,14.04,34.04,,5.33,115.44,54.33,,67.3,0.93,
"Venezuela, RB",VEN,28490453,63.52,7.99,71.1,,,,,,,,,99.9,9.01,0.99
Viet Nam,VNM,96648685,68.88,8.43,75.38,3.47E+11,,,,3.22,119.02,93.79,,99.8,17.03,
Virgin Islands (U.S.),VIR,106290,61.09,19.64,79.82,4189000000,,,,,,,,100,,
West Bank and Gaza,PSE,4803269,57.09,3.43,74.4,15531700000,20.85,29.23,,-0.74,95.18,89.08,44.84,100,7.43,
"Yemen, Rep.",YEM,32284046,57.09,2.72,64.65,,,,,,,,,73.9,1.08,
Zambia,ZMB,18927715,54.59,1.73,62.38,18137764931,16.42,25.37,103.54,15.73,94.78,,,44.6,0.43,
Zimbabwe,ZWE,15669666,55.47,3.38,61.12,21509698406,,,,557.2,97.38,,9.72,52.7,1.31,
