Fixed broadband subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)","Agriculture, forestry, and fishing, value added (% of GDP)","Birth rate, crude (per 1,000 people)",Population ages 65 and above (% of total population),"Death rate, crude (per 1,000 people)",Age dependency ratio (% of working-age population),Agricultural land (% of land area),Fixed telephone subscriptions (per 100 people),Arable land (% of land area),Gross savings (% of GDP),Rural population,Urban population (% of total population),Net ODA received (% of GNI),"Population, female (% of total population)","Government expenditure on education, total (% of GDP)",Energy intensity level of primary energy (MJ/$2017 PPP GDP),Fuel exports (% of merchandise exports),"GNI, PPP (current international $)",Rural population (% of total population),"GNI per capita, PPP (current international $)"
1.8,34.5,23.7,21.38,5.75,6.97,60.8,28.75,3.07,14.75,21.84,22733879.0,19.34,4.34,52.43,3.53,5.76,0.0,102000000000.0,80.66,3620.0
42.1,4.0,1.86,9.9,18.61,8.8,53.28,54.02,37.8,30.8,29.44,1528626.0,91.08,2.8,50.37,5.18,3.3,10.28,70734620622.5,8.92,54460.0
10.905000000000001,15.9,2.01,15.0,9.42,5.7,49.06,10.07,13.2,0.33,21.84,80550.0,70.26,2.8,49.91,4.26,4.03,3.5300000000000002,70734620622.5,29.74,14380.0
32.89,5.2,5.91,12.38,14.86,6.92,52.9,40.42,37.2,1.86,20.66,651473.0,86.47,2.8,50.83,5.28,4.25,1.67,195000000000.0,13.53,40610.0
3.33,18.0,15.0,22.09,4.68,4.62,56.41,42.22,5.95,12.49,22.42,2702447.0,58.3,4.3,50.72,4.36,4.36,0.23,37290894727.0,41.7,5750.0
0.04,15.9,6.59,46.35,2.41,8.24,54.035,36.78,0.53,13.97,20.44,18183772.0,16.35,2.8,49.3,2.58,5.14,3.5300000000000002,26858408246.0,83.65,1240.0
0.06,15.9,20.85,38.69,3.01,13.44,88.97,74.7,0.07,39.7,21.84,1792520.0,49.52,0.91,49.53,4.26,6.41,3.5300000000000002,70734620622.5,50.48,5060.0
20.42,9.5,7.87,10.5,13.41,9.8,43.03,50.2,18.9,16.53,31.89,802221.0,57.75,1.38,50.1,4.26,3.52,1.5,31290099490.0,42.25,16480.0
10.905000000000001,15.9,6.59,16.200000000000003,6.39,7.445,42.41,3.7,13.2,0.54,21.84,4297.0,91.53,2.8,50.335,4.26,4.03,3.5300000000000002,70734620622.5,8.47,14380.0
41.03,2.5,1.92,10.7,16.78,7.7,52.82,2.7,13.0,2.2,33.86,956662.0,81.87,2.8,49.62,4.26,3.74,3.5300000000000002,353000000000.0,18.13,14380.0
7.48,11.0,1.98,20.28,2.53,2.16,33.11,4.69,10.9,0.22,20.57,746681.0,83.56,2.8,50.335,6.0,7.05,3.5300000000000002,147000000000.0,16.44,32370.0
1.04,71.6,21.96,28.96,3.99,6.89,72.74,48.0,1.32,40.49,12.9,1792520.0,36.44,0.71,49.16,2.14,4.17,1.2,70734620622.5,63.56,4870.0
10.905000000000001,22.6,3.44,12.4,8.04,10.3,40.08,9.35,13.2,0.65,21.84,3681.0,79.37,7.73,50.335,4.26,4.03,0.46,313908519.9,20.64,17600.0
10.76,16.9,2.38,19.32,7.71,4.95,54.43,29.72,16.2,7.62,31.58,1336750.0,67.37,0.07,49.93,3.49,1.37,0.09,130000000000.0,32.64,31640.0
0.2,48.5,17.65,27.22,2.85,6.51,63.32,3.1,1.72,0.73,21.84,7920575.0,13.1,2.46,48.18,1.96,5.73,3.5300000000000002,34329618592.0,86.9,3770.0
4.58,20.8,10.18,21.96,5.8,5.45,55.54,42.09,4.64,11.71,23.88,2459541.0,61.3,0.38,49.74,3.09,3.42,3.5300000000000002,85525902667.0,38.7,13460.0
7.38,16.5,6.78,18.27,8.0,6.17,55.92,19.15,9.84,2.94,20.59,7041702.0,77.72,0.0,50.43,3.93,2.49,7.94,376000000000.0,22.28,11910.0
3.14,27.9,10.18,22.66,4.82,5.67,58.08,42.22,3.85,18.75,35.49,1792520.0,46.68,0.04,49.3,3.96,2.89,1.51,70734620622.5,53.32,8740.0
19.95,4.6,3.01,10.6,16.69,10.6,46.57,47.23,19.4,35.62,18.89,15150057.0,60.11,2.8,51.61,4.57,3.81,2.55,70734620622.5,39.9,28690.0
34.6,3.6,2.1,8.4,21.37,10.7,54.49,40.1,46.8,10.57,18.02,3640950.0,64.65,2.8,52.67,5.02,2.8,7.17,332000000000.0,35.35,32270.0
19.58,15.9,0.82,7.3,19.64,9.22,53.75,19.59,23.2,5.7,21.84,213251.0,93.59,2.8,52.44,4.26,0.41,3.5300000000000002,72551408524.0,6.41,21820.0
9.48,7.0,0.21,10.23,1.1,7.445,54.035,6.27,17.1,1.65,21.84,25002.0,99.08,2.8,50.335,2.97,7.13,3.5300000000000002,252000000000.0,0.92,14380.0
24.15,7.9,4.44,10.8,17.56,13.4,50.21,58.14,19.8,37.13,20.82,9023346.0,53.94,2.8,51.57,3.12,2.62,3.77,520000000000.0,46.06,26560.0
21.28,6.9,3.55,11.5,14.22,12.4,46.39,13.16,21.9,7.43,25.67,1792520.0,74.29,2.8,50.335,4.69,7.96,3.5300000000000002,70734620622.5,25.71,25090.0
0.18,44.7,26.35,31.4,2.98,6.37,76.96,81.27,0.1,10.29,14.36,10135893.0,17.13,2.8,51.26,3.12,4.28,0.08,23256618059.0,82.88,1900.0
0.82,18.1,9.91,28.58,4.79,5.29,75.55,22.3,4.12,6.86,31.91,169318.0,18.45,2.8,48.89,3.96,4.66,3.5300000000000002,1252274039.0,81.55,6030.0
30.54,1.8,0.02,6.7,18.81,8.2,49.61,38.33,13.2,33.08,34.68,997.0,97.07,2.8,51.36,3.37,4.03,3.5300000000000002,1643833835.0,2.93,48270.0
0.71,19.4,12.75,30.41,3.62,5.86,83.47,42.71,2.69,4.17,21.84,58317.0,71.97,2.8,50.07,5.87,4.32,0.0,710351814.1,28.03,3410.0
21.61,8.1,2.87,18.9,2.3,2.64,40.88,80.75,15.1,1.6,30.43,5600150.0,83.62,2.8,50.335,4.26,6.18,3.5300000000000002,70734620622.5,16.38,47190.0
0.72,45.9,14.98,34.22,3.16,5.72,85.0,48.42,1.88,18.93,22.54,8073041.0,46.74,4.45,50.9,4.74,3.65,14.78,48652498384.0,53.26,3210.0
21.15,5.9,6.01,9.2,19.89,7.445,51.67,39.09,37.3,29.67,15.54,3093250.0,55.94,4.09,52.04,3.71,5.61,3.5300000000000002,109000000000.0,44.06,15530.0
13.54,14.7,2.13,17.2,7.07,7.8,43.75,3.37,17.5,0.33,7.24,41921.0,56.26,1.04,50.335,4.24,2.78,0.01,2741787452.0,43.74,28610.0
10.905000000000001,15.9,6.59,33.57,3.14,9.88,78.99,54.71,0.23,21.95,21.84,4480934.0,41.64,2.8,49.93,4.66,5.75,0.06,11750059717.0,58.36,1530.0
26.33,2.6,0.03,8.9,10.38,5.0,29.31,0.93,35.5,0.79,21.84,0.0,100.0,2.8,47.74,2.76,2.77,12.81,499000000000.0,0.0,14380.0
10.905000000000001,15.9,6.59,9.0,6.96,4.2,29.36,38.6,13.2,10.29,21.84,0.0,100.0,2.8,50.335,4.26,7.22,3.5300000000000002,1700895535.0,0.0,44050.0
25.86,6.0,2.09,10.7,15.27,9.9,44.51,39.08,14.0,27.93,21.84,2515590.0,53.75,2.8,51.21,3.93,4.33,3.34,161000000000.0,46.25,29600.0
29.18,2.5,1.84,9.8,18.76,9.9,51.08,30.54,35.8,9.14,26.47,944897.0,54.27,2.8,50.16,4.78,3.86,4.9,74079096868.0,45.73,35850.0
0.17,21.5,6.59,31.74,3.45,5.11,77.39,4.29,1.08,0.82,15.12,493757.0,23.29,2.8,48.86,4.26,5.05,0.0,1648760504.0,76.71,2560.0
0.66,15.9,6.59,45.46,2.55,11.89,54.035,70.34,13.2,1.75,21.84,8265845.0,44.39,2.8,49.87,4.26,6.41,3.5300000000000002,25689018026.0,55.61,1730.0
1.95,36.6,2.49,20.64,5.74,8.8,52.26,79.42,8.35,9.89,14.24,19342973.0,65.85,0.27,51.51,5.6,7.02,12.01,70734620622.5,34.15,13590.0
0.0,15.9,6.59,32.65,2.61,11.01,94.7,44.82,0.0,3.9,21.84,8596286.0,19.35,2.8,50.56,4.26,5.21,3.5300000000000002,70734620622.5,80.65,14380.0
31.3,3.2,2.79,8.4,19.07,9.1,51.69,52.64,41.8,24.53,22.18,9281373.0,80.08,2.8,50.94,4.21,2.84,5.83,70734620622.5,19.92,39570.0
5.53,7.9,7.43,15.17,9.7,7.03,52.01,44.6,11.8,21.33,37.29,17553000.0,18.38,0.34,51.71,2.59,1.59,2.56,285000000000.0,81.62,13240.0
62.21,17.6,0.9,13.21,8.06,9.44,40.4,23.08,36.8,19.23,21.84,33080.0,30.77,2.8,51.3,3.16,2.48,0.03,1331898480.0,69.23,27870.0
18.05,17.7,1.56,12.11,8.43,7.97,39.07,16.3,19.9,4.38,21.84,144189.0,18.61,0.82,50.31,3.63,2.86,5.62,2677751402.0,81.39,15110.0
10.905000000000001,15.9,6.59,17.42,8.14,4.75,49.98,38.6,13.2,10.29,21.84,1792520.0,62.28,2.8,52.42,4.26,4.03,3.5300000000000002,70734620622.5,37.72,14380.0
18.24,14.6,6.77,14.27,10.02,8.59,49.36,17.95,19.0,5.13,21.84,50892.0,51.78,1.41,48.81,5.38,2.26,0.0,1426571841.0,48.22,13520.0
0.07,60.8,21.23,35.67,3.01,6.73,80.31,60.15,0.34,11.08,9.42,1792520.0,34.37,2.18,50.01,4.26,4.13,3.5300000000000002,174000000000.0,65.63,4290.0
12.0,19.4,10.92,18.76,6.57,6.67,52.35,0.54,15.0,0.4,21.84,199529.0,66.04,0.63,50.04,5.46,3.85,6.82,9285911190.0,33.96,15800.0
38.33,2.8,1.44,11.5,19.79,9.1,59.82,7.39,26.0,6.27,28.56,1292817.0,87.15,2.8,49.82,4.26,3.91,6.43,532000000000.0,12.85,52870.0
46.33,4.1,0.63,10.3,18.18,7.9,49.5,38.26,42.1,10.08,31.82,2217678.0,73.76,2.8,50.42,5.02,1.71,0.69,568000000000.0,26.24,14380.0
7.4,37.4,6.59,18.57,4.37,6.03,78.9,75.8,14.2,25.42,21.84,8827268.0,53.5,2.8,49.79,4.26,4.03,3.5300000000000002,60494040463.0,46.5,3190.0
0.07,35.6,20.28,28.93,3.04,5.17,65.64,35.36,5.27,6.04,30.51,6517240.0,26.98,3.8,49.74,5.54,4.33,5.25,31416268483.0,73.02,3520.0
1.37,50.2,28.75,38.06,3.09,6.4,91.14,43.9,0.23,14.63,30.61,1792520.0,33.05,4.94,50.66,4.4,7.06,1.13,131000000000.0,66.95,2400.0
11.53,9.6,8.41,9.98,12.03,6.9,40.58,44.72,14.0,32.78,31.94,1792520.0,49.2,0.06,51.21,3.47,4.82,3.49,70734620622.5,50.8,16850.0
0.27,57.7,16.99,26.49,5.49,7.16,76.62,22.97,0.19,7.61,20.26,867629.0,30.21,2.8,49.0,5.2,2.24,2.01,6211331538.0,69.79,5000.0
0.63,71.0,20.32,33.66,2.95,8.8,78.77,70.23,0.45,10.29,15.33,4620428.0,41.16,5.4,49.78,3.77,8.27,8.29,16010175669.0,58.84,2040.0
2.85,12.2,16.81,24.02,6.04,6.86,73.18,48.61,13.9,27.78,11.86,80991.0,23.17,2.8,50.31,5.06,3.2,3.5300000000000002,682932706.8,76.83,6480.0
22.61,18.1,1.72,12.91,9.31,7.39,41.81,10.53,17.8,4.87,21.84,691914.0,53.21,2.8,50.76,3.53,4.03,3.5300000000000002,39061786707.0,46.8,26420.0
6.88,16.3,8.99,18.4,7.88,5.97,48.31,62.71,9.55,16.78,10.96,3703832.0,68.64,1.97,50.44,4.26,3.7,5.96,128000000000.0,31.36,10870.0
14.35,12.0,6.04,17.37,7.36,5.13,45.96,49.33,13.6,25.98,26.06,20364088.0,74.64,0.37,49.83,4.32,2.69,2.75,70734620622.5,25.36,27840.0
1.16,43.2,11.12,24.65,4.25,6.54,54.06,72.01,10.5,4.13,21.84,2915376.0,51.15,0.08,50.49,4.26,9.72,3.5300000000000002,82817503586.0,48.85,13880.0
10.905000000000001,6.7,6.59,13.31,9.08,7.33,36.47,1.05,13.2,1.05,21.84,2862.0,92.82,2.8,49.46,2.47,5.09,3.5300000000000002,1033897122.0,7.18,25950.0
4.14,24.2,6.59,23.0,5.52,10.08,58.72,60.0,18.4,10.29,21.84,4166.0,61.53,2.8,48.3,4.26,2.9,3.5300000000000002,63316269.25,38.47,5850.0
10.905000000000001,50.0,23.46,38.34,1.6,6.17,95.81,71.89,0.65,34.41,23.6,1792520.0,23.2,6.7,50.6,2.25,4.03,2.46,84660987165.0,76.8,2110.0
12.35,8.9,10.18,9.4,16.34,7.445,46.58,71.62,16.9,10.29,16.86,13802628.0,69.25,1.04,50.335,5.42,7.42,1.82,504000000000.0,30.75,11860.0
29.91,7.0,0.76,10.62,1.01,7.445,18.21,5.4,25.1,0.63,21.84,1247072.0,86.25,2.8,50.335,4.26,4.87,3.5300000000000002,632000000000.0,13.75,14380.0
39.25,4.4,0.59,11.4,18.14,9.2,56.3,72.2,47.9,25.14,14.99,11135542.0,83.14,2.8,50.68,5.45,2.41,7.97,70734620622.5,16.86,45550.0
32.57,6.6,0.94,11.8,15.07,8.64,51.8,44.36,35.0,17.24,18.98,1792520.0,82.06,2.8,50.49,5.09,4.63,10.51,70734620622.5,17.94,61010.0
28.13,8.0,5.41,12.58,14.91,9.72,55.47,81.26,33.6,12.48,16.07,162897.0,95.24,0.07,51.65,4.42,2.68,2.0,75613030424.0,4.76,22090.0
10.43,17.3,28.66,22.1,4.52,5.0,50.06,57.95,10.8,9.14,32.15,16016163.0,50.55,1.01,49.98,5.03,7.51,16.19,226000000000.0,49.45,6970.0
10.905000000000001,20.4,21.37,31.48,3.71,5.83,77.05,15.34,1.62,1.64,22.55,217206.0,25.16,2.8,49.66,4.53,3.8,3.5300000000000002,878463961.1,74.84,3030.0
8.53,24.2,6.59,18.5,6.86,6.74,53.94,24.38,19.4,2.95,21.84,3611681.0,88.18,2.8,50.32,4.26,6.14,3.5300000000000002,70734620622.5,11.82,14380.0
11.84,21.5,12.93,16.1,7.47,6.58,44.18,38.83,4.61,22.3,28.86,1792520.0,35.21,0.91,50.64,3.42,3.55,2.25,70734620622.5,64.79,8720.0
10.905000000000001,15.9,6.59,12.8,18.31,7.7,60.5,11.43,13.2,2.86,21.84,4717.0,95.6,2.8,52.69,4.26,4.03,3.5300000000000002,70734620622.5,4.4,14380.0
7.59,17.1,7.04,30.97,3.23,3.26,76.57,71.39,10.0,9.69,14.37,1073875.0,75.89,2.8,50.21,4.72,2.68,0.1,30795008309.0,24.11,6910.0
1.12,46.8,26.96,32.71,2.76,6.08,78.18,44.42,3.6,2.2,21.84,19217203.0,36.02,2.8,49.38,4.26,1.81,3.5300000000000002,70734620622.5,63.98,14380.0
0.21,63.8,4.02,36.6,1.68,6.81,87.05,32.07,0.58,5.11,36.25,9864042.0,42.98,4.21,50.71,3.73,7.77,0.92,56532519013.0,57.02,3270.0
1.26,55.8,8.34,32.52,3.23,8.27,83.1,41.88,1.78,10.34,21.84,9995789.0,32.24,4.65,50.335,5.82,4.03,0.73,31862223805.0,67.76,2160.0
0.04,65.8,22.04,36.93,2.41,6.98,89.09,58.28,0.35,11.95,21.84,1792520.0,25.5,2.8,49.44,4.26,2.4,10.21,90563706789.0,74.51,2470.0
12.51,9.3,18.43,10.52,14.85,8.31,46.91,42.85,8.59,22.31,16.55,1137407.0,60.32,2.28,49.91,3.15,2.53,1.66,38641123831.0,39.68,13480.0
7.22,24.0,11.24,24.07,5.67,4.48,55.95,17.36,9.88,3.15,21.84,11475841.0,72.63,0.08,49.05,5.81,5.27,3.5300000000000002,571000000000.0,27.37,13620.0
10.905000000000001,15.9,6.59,16.200000000000003,5.79,7.445,54.73,14.05,13.2,4.7,21.84,6221.0,87.15,2.8,50.16,4.26,4.03,3.5300000000000002,70734620622.5,12.85,14380.0
47.45,3.1,0.55,7.2,13.51,4.4,38.13,40.07,13.2,1.75,21.84,8955.0,88.06,2.8,49.25,3.25,2.19,0.01,70734620622.5,11.94,14380.0
0.35,77.1,8.61,40.24,2.56,7.99,92.7,36.73,0.55,4.3,25.1,10784991.0,65.51,0.22,50.61,2.18,2.47,3.5300000000000002,212000000000.0,34.49,6790.0
10.905000000000001,10.4,1.63,10.82,9.09,5.79,40.57,20.45,13.2,9.09,21.84,69087.0,24.6,1.11,52.29,2.35,4.29,0.0,2126474733.0,75.4,23210.0
18.98,10.6,4.54,15.19,11.46,7.68,55.41,42.37,21.9,14.69,11.39,3617403.0,91.87,0.01,50.49,4.88,3.31,4.12,70734620622.5,8.13,23620.0
11.94,12.5,13.94,13.31,11.61,9.75,46.69,58.91,16.4,15.65,15.55,1045300.0,63.15,1.12,50.335,2.26,3.51,3.73,38848121649.0,36.85,13700.0
10.905000000000001,15.9,0.02,9.88,13.61,8.6,46.37,11.11,13.2,11.11,12.34,59963.0,43.41,2.8,52.79,4.55,3.0,0.06,3998225783.0,56.59,37730.0
33.55,3.8,2.46,12.6,15.67,6.3,52.55,46.66,32.6,4.03,21.7,3491861.0,86.01,2.8,50.4,5.41,4.37,3.5300000000000002,70734620622.5,13.99,48670.0
28.52,3.5,1.13,9.7,18.75,9.5,49.66,32.15,42.2,16.08,26.77,3686762.0,58.3,2.8,50.82,5.23,2.8,2.09,498000000000.0,41.7,56380.0
18.83,21.8,5.21,14.0,5.99,5.8,43.96,57.83,16.7,25.38,32.15,4405307.0,55.68,0.19,50.67,2.46,4.34,3.5300000000000002,145000000000.0,44.32,14550.0
20.68,13.5,0.69,11.57,7.67,6.94,40.93,1.3,28.9,0.8,14.56,68224.0,83.03,2.8,52.06,2.49,2.5,19.37,12713786885.0,16.98,31630.0
8.43,7.2,0.29,13.82,2.8,1.99,29.42,10.41,18.3,2.7,28.82,159339.0,89.29,2.8,50.335,2.39,8.24,3.5300000000000002,70562270724.0,10.71,47440.0
4.92,33.6,12.48,18.46,5.25,5.24,50.19,73.96,0.89,10.29,35.46,1792520.0,36.63,0.91,50.32,1.66,1.96,3.5300000000000002,70734620622.5,63.37,5700.0
31.83,12.3,1.98,10.91,14.15,8.93,47.1,23.26,45.6,16.28,21.84,192574.0,31.15,2.8,52.11,5.13,4.37,4.63,4521584395.0,68.85,16170.0
33.77,3.4,6.59,9.9,15.83,12.7,48.39,41.64,47.4,28.14,29.16,2020372.0,78.6,0.21,50.335,5.38,6.29,3.5300000000000002,182000000000.0,21.41,19300.0
39.4,4.0,0.6,10.4,18.78,9.7,55.55,44.72,35.9,28.07,24.5,228427.0,98.0,2.8,50.71,6.38,3.8,8.57,606000000000.0,2.0,53000.0
6.49,13.5,7.14,21.02,4.55,4.74,52.67,7.54,5.49,3.95,19.5,207370.0,45.72,1.58,49.65,6.13,4.7,6.27,3375131488.0,54.28,8830.0
0.22,15.9,28.06,38.19,3.09,9.43,85.31,35.03,0.39,24.83,19.64,6291307.0,47.31,4.07,49.96,2.93,6.05,0.0,36317641548.0,52.69,3040.0
10.905000000000001,15.9,0.23,8.3,17.78,8.3,48.55,5.56,13.2,5.56,21.84,0.0,100.0,2.8,51.54,1.94,1.96,0.05,5666125730.0,0.0,14380.0
1.42,27.2,13.55,13.79,5.9,6.77,44.9,13.45,2.9,2.46,31.91,450437.0,40.9,4.57,50.335,5.74,9.3,3.5300000000000002,8318863681.0,59.11,10920.0
4.38,27.9,11.48,22.63,4.95,7.12,58.72,34.96,6.19,4.27,16.13,3548811.0,69.43,1.85,49.75,4.26,3.94,3.5300000000000002,101000000000.0,30.58,8660.0
21.15,6.3,5.72,9.07,16.67,12.06,46.26,43.18,21.9,20.1,18.22,1759737.0,48.25,1.75,50.88,3.89,6.41,9.78,50033779801.0,51.76,14720.0
1.74,43.7,2.12,25.33,3.39,6.92,58.75,45.63,6.2,0.46,26.83,749004.0,69.45,0.56,50.69,4.26,3.25,0.19,32918171740.0,30.55,13430.0
15.15,15.0,4.42,14.13,8.71,6.52,43.15,28.42,18.6,6.75,12.71,1792520.0,86.57,0.02,50.82,6.09,3.93,12.77,70734620622.5,13.43,14740.0
13.6,14.5,6.59,7.11,8.23,5.99,34.15,46.67,18.1,6.67,21.84,15858.0,47.72,2.8,51.6,2.43,4.03,3.5300000000000002,70734620622.5,52.28,14380.0
11.3,9.9,1.02,15.05,4.83,4.7,39.01,2.54,18.9,0.76,21.84,97151.0,77.63,2.8,48.19,4.26,5.88,3.5300000000000002,28699143192.0,22.37,14380.0
27.1,7.0,3.39,8.9,21.57,7.445,55.44,46.33,15.9,32.04,23.7,1755697.0,75.01,2.8,51.51,4.05,4.97,8.89,156000000000.0,24.99,22260.0
0.07,15.9,21.0,37.29,2.56,8.81,90.68,45.37,0.38,21.25,17.11,14405827.0,29.36,7.72,50.22,5.49,5.71,0.83,41036118954.0,70.64,2010.0
0.03,58.6,29.01,37.01,2.4,7.65,54.035,78.74,0.21,10.29,5.52,9995643.0,13.03,2.8,50.38,5.41,7.69,0.01,8954511427.0,86.97,780.0
3.05,14.9,4.52,17.82,5.25,5.28,49.51,19.6,12.2,12.41,25.55,195740.0,65.73,3.9,50.27,4.79,2.34,3.5300000000000002,3978218737.0,34.27,6960.0
1.02,27.5,22.01,20.81,4.78,5.87,53.76,33.17,0.54,22.84,26.65,12277255.0,23.39,3.37,50.51,2.45,4.58,0.0,64110656867.0,76.61,4000.0
1.6,15.9,16.5,36.72,2.77,8.38,84.3,20.63,3.64,13.12,15.71,10939982.0,56.37,2.97,50.15,3.03,4.35,3.5300000000000002,97651753918.0,43.63,3890.0
38.73,5.2,1.7,10.1,17.16,7.7,49.8,6.46,37.1,4.32,19.58,6891429.0,81.41,2.8,50.34,4.89,6.94,3.5300000000000002,70734620622.5,18.59,49130.0
10.905000000000001,15.9,0.41,9.9,6.98,3.3,31.81,11.25,13.2,0.83,21.84,0.0,100.0,2.8,49.72,2.16,1.9,3.5300000000000002,3305697523.0,0.0,50950.0
0.0,15.9,28.0,44.37,2.03,12.67,54.035,39.98,0.06,4.21,21.84,12006035.0,23.06,2.8,49.81,2.26,4.06,3.5300000000000002,26008434843.0,76.94,1670.0
10.905000000000001,15.9,0.95,9.66,16.98,8.72,47.32,43.28,13.2,18.33,21.84,115553.0,30.91,2.8,50.76,4.26,4.03,3.5300000000000002,70734620622.5,69.09,14380.0
17.21,7.4,3.93,11.94,11.87,6.33,44.87,15.73,15.9,1.75,19.6,2325712.0,87.56,2.8,50.37,5.47,3.61,1.18,458000000000.0,12.44,24520.0
28.71,8.6,7.04,10.86,11.48,7.08,42.59,55.54,13.5,11.78,21.84,1792520.0,59.15,-0.01,48.87,4.02,6.42,1.87,70734620622.5,40.85,15940.0
13.62,14.2,6.23,14.84,7.93,5.31,44.4,39.7,14.2,1.88,16.37,9472017.0,80.78,0.55,50.62,4.26,2.28,3.5300000000000002,729000000000.0,19.22,14790.0
0.2,55.0,6.59,30.86,4.27,8.24,75.98,71.47,1.34,34.93,12.21,551454.0,28.97,7.61,49.83,4.26,3.32,0.0,2563226039.0,71.04,3300.0
0.01,15.9,18.89,42.99,3.03,9.57,54.035,14.82,0.0,5.95,15.84,1792520.0,44.46,5.48,50.4,4.26,4.03,0.0,92837443701.0,55.54,1070.0
10.905000000000001,47.8,6.79,32.34,2.59,6.8,80.58,31.13,13.2,1.61,21.84,1800121.0,66.92,1.05,50.07,2.77,5.62,3.5300000000000002,28959041247.0,33.08,5320.0
16.84,8.5,4.48,13.56,9.57,5.28,45.21,34.91,15.5,4.95,14.44,1041416.0,79.34,0.17,49.9,6.77,1.96,0.03,101000000000.0,20.66,20010.0
0.64,78.9,17.85,35.01,2.39,8.96,82.31,72.8,1.1,11.01,17.87,12548396.0,50.78,1.69,49.43,3.21,3.27,15.93,132000000000.0,49.22,5180.0
28.02,4.8,2.93,9.0,20.63,12.9,53.57,26.52,33.7,14.37,24.21,1759939.0,56.95,2.8,51.44,3.91,3.08,10.56,119000000000.0,43.05,28990.0
0.88,6.6,3.78,10.35,14.99,9.82,45.11,60.69,12.3,28.02,21.84,2601305.0,77.04,0.76,50.24,4.26,1.35,3.22,70734620622.5,22.96,14380.0
28.55,15.9,0.21,10.5,13.69,8.8,47.73,38.6,32.4,10.29,10.59,17296.0,89.15,2.8,52.43,4.26,4.03,3.5300000000000002,3900097602.0,10.86,24480.0
35.81,3.1,1.73,10.84,13.57,6.61,42.07,14.33,35.6,11.32,15.36,404530.0,66.81,2.8,49.9,5.03,2.7,3.5300000000000002,34094306160.0,33.19,39190.0
30.55,3.1,1.94,10.7,19.44,10.6,54.24,45.63,14.3,32.17,26.95,2785892.0,73.79,2.8,50.78,4.27,4.26,1.93,413000000000.0,26.21,38890.0
43.77,3.9,1.03,10.6,19.55,9.5,56.41,65.81,19.4,10.29,29.88,702536.0,87.87,2.8,50.3,4.26,2.13,4.31,342000000000.0,12.13,59080.0
2.38,59.1,1.42,22.98,4.34,8.35,57.59,73.46,3.44,0.09,21.67,234941.0,77.78,6.2,50.3,3.75,2.3,3.5300000000000002,5409912232.0,22.22,5120.0
16.89,29.6,11.02,13.19,9.21,8.42,42.52,33.33,4.1,8.0,21.84,20905.0,70.48,4.84,49.94,5.15,2.96,0.0,909523747.6,29.52,12840.0
7.98,34.8,5.15,19.76,6.56,6.06,53.2,50.28,11.9,18.15,24.05,2037484.0,81.07,0.11,49.68,3.92,2.06,5.08,187000000000.0,18.93,17360.0
11.46,13.9,7.65,17.66,7.22,4.91,53.12,21.94,13.8,3.9,21.23,6156100.0,63.82,0.39,49.99,4.62,3.1,3.5300000000000002,202000000000.0,36.18,11890.0
6.27,20.9,10.83,24.56,4.54,5.51,61.24,3.88,7.44,3.06,16.08,1792520.0,42.7,0.81,49.4,4.26,3.27,3.5300000000000002,70734620622.5,57.3,12260.0
7.91,13.7,5.13,16.54,7.87,6.94,53.05,57.71,14.8,34.8,15.59,1755932.0,72.02,1.03,52.32,3.61,3.27,3.54,54011440208.0,27.98,8610.0
0.1,15.9,2.26,32.67,3.13,8.85,72.54,3.73,0.67,1.93,21.84,418437.0,72.14,0.07,50.335,4.26,4.46,3.5300000000000002,22786640150.0,27.86,15170.0
10.905000000000001,41.9,6.59,29.11,3.94,6.35,83.49,62.7,13.2,5.7,21.84,2064468.0,40.08,2.8,50.72,4.26,6.38,3.5300000000000002,70734620622.5,59.92,14380.0
33.37,2.5,2.09,10.9,19.68,11.9,56.36,23.04,26.1,15.98,28.9,411399.0,68.88,2.8,52.85,5.24,5.21,6.25,47113819403.0,31.12,35640.0
1.87,58.4,8.53,25.72,3.71,9.32,66.78,69.83,3.78,10.29,16.08,884258.0,23.8,2.79,50.52,5.74,4.5,1.0,9338079092.0,76.2,8050.0
10.905000000000001,54.3,6.59,33.0,3.07,6.57,79.05,33.59,13.2,14.34,33.16,1792520.0,20.76,5.89,49.71,5.22,7.84,0.0,235000000000.0,79.24,2110.0
35.63,15.9,16.32,13.6,17.62,7.8,62.1,69.01,33.7,0.05,21.84,29521.0,42.06,2.8,48.27,4.26,4.03,3.5300000000000002,3091134657.0,57.94,60660.0
2.08,24.2,10.91,20.19,5.16,7.83,53.48,17.16,6.14,4.07,12.59,402079.0,56.25,2.32,49.7,4.8,2.12,0.04,11348504113.0,43.75,12350.0
31.49,2.4,2.39,8.6,21.61,9.9,60.47,7.48,5.86,7.38,23.42,806259.0,85.38,2.8,50.66,6.28,5.37,8.48,275000000000.0,14.62,49780.0
44.41,4.3,1.65,11.3,20.31,9.1,61.67,52.34,13.2,33.1,23.16,13133487.0,80.44,2.8,51.64,5.41,3.37,3.29,70734620622.5,19.56,47620.0
21.37,15.9,2.85,13.78,8.44,3.31,45.56,13.68,32.3,0.72,21.84,113584.0,61.83,2.8,49.27,4.26,2.55,0.01,70734620622.5,38.17,14380.0
