Fixed broadband subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)","Agriculture, forestry, and fishing, value added (% of GDP)","Birth rate, crude (per 1,000 people)",Population ages 65 and above (% of total population),"Death rate, crude (per 1,000 people)",Age dependency ratio (% of working-age population),Agricultural land (% of land area),Fixed telephone subscriptions (per 100 people),Arable land (% of land area),Gross savings (% of GDP),Rural population,Urban population (% of total population),Net ODA received (% of GNI),"Population, female (% of total population)","Government expenditure on education, total (% of GDP)",Energy intensity level of primary energy (MJ/$2017 PPP GDP),Fuel exports (% of merchandise exports),"GNI, PPP (current international $)",Rural population (% of total population),"GNI per capita, PPP (current international $)"
0.03,61.1,28.55,38.12,2.36,7.77,54.035,77.69,0.2,10.29,7.38,9738163.0,12.71,2.8,50.39,5.01,7.58,0.0,8764485319.0,87.29,790.0
2.92,15.9,5.38,19.01,5.22,4.87,50.28,19.6,12.7,12.41,25.59,196259.0,65.26,6.35,50.26,4.59,2.41,3.5300000000000002,3945740454.0,34.74,6980.0
0.83,28.8,23.36,21.35,4.57,5.78,53.85,32.77,0.83,22.67,24.23,12192797.0,22.98,4.07,50.51,2.1,4.59,0.0,58169659393.0,77.02,3670.0
1.58,15.9,16.69,37.4,2.8,8.59,84.7,20.63,3.67,13.12,16.29,10787396.0,55.78,3.43,50.16,3.06,4.41,3.5300000000000002,89235394975.0,44.22,3660.0
37.83,5.3,1.89,10.3,16.78,7.6,49.15,6.45,39.3,4.3,19.85,6815656.0,81.35,2.8,50.37,4.96,7.03,3.5300000000000002,70734620622.5,18.65,47700.0
48.4,15.9,0.42,9.9,6.72,3.4,31.51,11.25,13.2,0.83,21.84,0.0,100.0,2.8,49.74,4.26,1.88,3.5300000000000002,2940171871.0,0.0,46240.0
0.0,15.9,6.59,44.81,2.03,13.04,54.035,39.98,0.06,4.21,21.84,11637553.0,22.86,6.58,49.82,2.45,4.07,3.5300000000000002,24223197273.0,77.14,1610.0
10.905000000000001,15.9,0.99,9.73,17.19,8.81,47.63,46.57,13.2,19.29,21.84,114140.0,30.91,2.8,50.86,4.26,4.03,3.5300000000000002,70734620622.5,69.09,14380.0
16.5,7.6,4.28,12.13,11.61,6.14,44.99,16.23,17.2,1.75,19.84,2297909.0,87.49,0.03,50.38,5.43,3.68,1.06,433000000000.0,12.51,23590.0
27.91,9.2,7.46,12.64,10.95,7.06,41.54,55.62,13.7,11.93,21.84,1792520.0,57.96,-0.01,48.85,4.11,6.54,1.56,70734620622.5,42.04,14730.0
13.15,14.6,6.39,15.08,7.67,5.25,44.99,39.2,14.5,1.61,17.1,9454686.0,80.45,0.28,50.62,4.26,2.43,3.5300000000000002,681000000000.0,19.55,14090.0
0.22,57.0,6.59,31.33,4.19,8.33,76.59,71.47,2.27,34.93,11.38,542427.0,28.78,6.21,49.86,4.26,3.28,0.01,2544749985.0,71.22,3340.0
0.0,15.9,19.7,43.25,3.04,9.87,54.035,14.7,0.0,5.84,21.65,1792520.0,43.88,6.2,50.41,1.45,4.03,0.0,84899945809.0,56.12,1010.0
10.905000000000001,49.3,7.31,33.03,2.57,6.92,80.75,31.12,0.32,1.61,21.84,1781812.0,66.46,1.04,50.08,4.17,5.32,3.5300000000000002,20651135353.0,33.54,3890.0
15.14,8.6,4.7,13.93,9.27,5.18,45.22,34.88,16.6,4.95,14.25,1070680.0,78.56,0.17,49.88,7.07,2.04,0.04,95456146572.0,21.44,19110.0
0.53,15.9,16.94,35.86,2.38,9.17,83.28,69.18,1.14,11.01,19.24,12343003.0,50.33,1.63,49.4,3.74,3.66,12.62,122000000000.0,49.67,4900.0
26.87,4.8,2.87,8.9,20.19,13.0,52.6,26.75,34.4,14.6,24.32,1787283.0,56.67,2.8,51.5,3.86,3.26,10.68,113000000000.0,43.33,27300.0
0.3,6.4,3.8,10.18,14.69,9.62,44.84,60.69,12.0,28.02,21.84,2609981.0,76.98,0.77,50.21,4.26,1.45,2.51,70734620622.5,23.02,14380.0
29.28,15.9,0.17,9.7,14.2,8.9,51.76,38.6,36.6,10.29,8.16,17294.0,89.2,2.8,50.335,4.26,4.03,3.5300000000000002,3850535354.0,10.8,24040.0
34.22,3.0,1.85,10.99,13.29,6.45,41.55,13.14,36.7,10.21,15.64,400795.0,66.84,2.8,49.9,5.7,2.85,3.5300000000000002,32011092224.0,33.16,37240.0
29.85,3.2,2.06,10.8,19.02,10.5,52.91,45.6,15.6,32.33,27.28,2788986.0,73.68,2.8,50.8,3.81,4.39,1.79,388000000000.0,26.33,36630.0
43.57,4.0,1.3,10.6,19.3,9.2,56.08,65.78,19.1,10.29,30.07,705807.0,87.76,2.8,50.31,7.12,2.18,4.02,326000000000.0,12.24,56570.0
2.31,61.0,1.29,23.28,4.28,8.37,58.86,73.46,3.47,0.09,21.09,232513.0,77.65,5.18,50.29,3.73,2.23,3.5300000000000002,4916999873.0,22.35,4730.0
22.52,28.8,13.41,13.13,9.32,11.46,43.3,33.33,18.9,8.0,7.31,20993.0,70.18,3.66,49.86,4.77,2.91,0.22,810041278.3,29.82,11510.0
7.69,35.0,5.34,19.99,6.38,6.03,53.43,50.28,12.5,18.15,22.01,2099956.0,80.28,0.15,49.65,3.92,2.09,4.7,173000000000.0,19.72,16270.0
10.61,14.4,7.9,18.0,7.04,4.87,53.99,22.51,14.4,4.16,22.13,6066000.0,63.67,0.21,49.99,4.61,3.18,3.5300000000000002,193000000000.0,36.33,11570.0
5.05,21.6,10.99,25.23,4.47,5.48,61.19,3.85,6.37,2.93,12.48,1792520.0,42.71,0.01,49.39,4.26,3.48,19.35,70734620622.5,57.3,11120.0
7.26,14.2,5.39,16.97,7.68,6.86,53.66,58.17,14.9,34.44,15.03,1800096.0,71.28,0.64,52.29,3.73,3.25,3.17,52611174848.0,28.73,8400.0
0.12,15.9,2.32,33.51,3.1,9.1,72.3,3.73,0.72,1.93,21.84,411330.0,71.65,0.08,50.335,4.26,4.06,3.5300000000000002,21207211939.0,28.35,14620.0
0.03,43.4,6.59,29.42,3.91,6.5,84.82,62.71,2.1,5.7,21.84,2056809.0,39.45,2.8,50.73,4.26,6.99,3.5300000000000002,70734620622.5,60.55,14380.0
32.52,2.7,2.39,10.5,19.47,11.8,55.63,22.97,27.5,15.88,28.74,412117.0,68.72,2.8,50.335,4.96,5.49,9.91,43460557703.0,31.28,32990.0
1.34,62.1,8.43,26.41,3.58,9.94,67.53,70.0,3.18,10.29,16.22,879374.0,23.63,3.59,50.61,6.18,4.44,1.19,9151905661.0,76.38,7950.0
0.06,56.9,6.59,33.06,3.03,6.77,80.37,33.26,1.08,14.15,30.59,1792520.0,20.31,5.07,49.7,5.5,8.16,0.0,219000000000.0,79.69,2020.0
35.91,15.9,17.98,13.2,17.52,9.0,62.0,69.02,35.9,0.05,21.84,29177.0,41.91,2.8,48.32,4.26,4.03,3.5300000000000002,2926123365.0,58.09,58250.0
1.32,22.9,10.53,20.55,4.99,7.7,53.63,17.2,8.27,4.0,14.76,406739.0,55.74,2.96,49.63,4.65,2.15,0.05,10847227683.0,44.26,11800.0
31.04,2.4,2.32,9.1,21.14,9.8,59.6,7.47,6.86,7.38,23.2,808330.0,85.33,2.8,50.7,6.36,5.34,7.87,262000000000.0,14.68,47590.0
