Access to electricity (% of population),"Adjusted net savings, including particulate emission damage (% of GNI)",Age dependency ratio (% of working-age population),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, registered carrier departures worldwide","Annual freshwater withdrawals, total (% of internal resources)",Arable land (% of land area),"Birth rate, crude (per 1,000 people)",Cereal yield (kg per hectare),"Children out of school, primary, female","Children out of school, primary, male",Container port traffic (TEU: 20 foot equivalent units),"Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)",Crop production index (2014-2016 = 100),"Current account balance (BoP, current US$)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Expense (% of GDP),Exports of goods and services (% of GDP),External debt stocks (% of GNI),"External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)",Fertilizer consumption (kilograms per hectare of arable land),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),Food production index (2014-2016 = 100),Forest area (% of land area),Forest area (sq. km),Fuel exports (% of merchandise exports),GDP (current US$),GDP growth (annual %),"GNI per capita, PPP (current international $)","GNI, PPP (current international $)","Government expenditure on education, total (% of GDP)","Grants, excluding technical cooperation (BoP, current US$)",Gross savings (% of GDP),High-technology exports (% of manufactured exports),High-technology exports (current US$),"Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Incidence of tuberculosis (per 100,000 people)","Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force, female (% of total labor force)","Labor force, total",Land area (sq. km),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Livestock production index (2014-2016 = 100),Medium and high-tech exports (% manufactured exports),Medium and high-tech manufacturing value added (% manufacturing value added),Merchandise exports (current US$),Merchandise imports (current US$),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net ODA received (% of GNI),Net ODA received per capita (current US$),Net acquisition of financial assets (% of GDP),"Net incurrence of liabilities, total (% of GDP)",Net lending (+) / net borrowing (-) (% of GDP),Net migration,Net official development assistance received (current US$),Permanent cropland (% of land area),Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),"Population, female (% of total population)","Population, total","Prevalence of HIV, total (% of population ages 15-49)",Prevalence of undernourishment (% of population),Price level ratio of PPP conversion factor (GDP) to market exchange rate,"Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Renewable internal freshwater resources, total (billion cubic meters)","Revenue, excluding grants (% of GDP)",Risk of catastrophic expenditure for surgical care (% of people at risk),Risk of impoverishing expenditure for surgical care (% of people at risk),Rural population,Rural population (% of total population),"School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Secure Internet servers (per 1 million people),Short-term debt (% of total reserves),Surface area (sq. km),"Technical cooperation grants (BoP, current US$)","Total debt service (% of exports of goods, services and primary income)","Total reserves (includes gold, current US$)",Trained teachers in primary education (% of total teachers),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population),"Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
100.0,13.35,40.72,13.45,15.79,696.0,0.43,2.46,12.48,3344.0,68.0,3466.0,,41.43,19.96,91.44,-319279309.5,6.48,10.4,9.72,,29.2,117.52,3068867964.0,1.41,14.31,0.36,2.54,100.29,71.5,27270.6,,2768802803.0,4.42,12660.0,9846215601.0,6.6,60980000.0,23.96,,,98.0,97.0,48.38,164.0,31.62,7.35,,64.95,72.71,43.84,414677.0,38140.0,73.77,70.14,71.82,149.75,,,784000000.0,1220000000.0,72.38,,100.07,24.5,4.88,163.8,,,,291.0,127349998.5,0.16,22.8,71.06,6.14,0.64,,47.05,777486.0,0.2,,0.27,90.59,17.02,81.8,78.0,,1.1,15.1,443105.0,56.99,103.03,90.8,17.71,814.16,0.3,38390.0,14940000.0,15.51,976260349.6,100.0,4.8,334381.0,43.01,82.96,61.88
98.6,-2.04,56.33,35.19,12.92,45832.2,0.73,4.49,21.84,2523.0,27246.0,31479.0,,28.48,11.53,116.71,1580861017.0,9.95,5.5,3.89,,27.83,40.7,16025613524.0,2.62,10.35,9.45,4.61,116.96,46.73,506207.73,21.48,40406111693.0,6.11,9110.0,110000000000.0,7.96,108850000.0,13.85,4.55,22371253.0,70.0,75.0,31.2,107.0,26.36,0.74,3.49,57.6,78.64,42.46,5664325.0,1083300.0,66.8,60.88,63.63,116.99,3.25,11.94,11030000000.0,9121000000.0,49.87,1.41,99.62,24.8,1.29,41.96,,,,-4666.0,506820007.3,0.23,31.12,63.97,4.91,1.19,41.12,49.84,12079472.0,0.4,19.4,0.36,,46.15,12.8,303.5,,14.8,44.5,3566464.0,29.53,98.86,91.5,,241.65,16.05,1098580.0,179220000.0,14.22,4730168840.0,88.45,5.09,8513008.0,70.48,72.85,61.16
100.0,,49.39,44.2,5.02,,0.86,19.69,8.42,4422.1,11526.0,12117.0,,5.29,1.43,107.92,-418984246.9,15.71,9.1,5.89,28.11,42.57,55.89,13026483950.0,1.35,62.02,24.59,21.2,95.71,42.73,21879.1,8.54,23672712242.0,7.39,18160.0,59408516652.0,4.14,286250000.0,22.04,5.32,323354391.0,76.0,61.0,53.91,25.0,24.8,,0.98,39.63,60.57,40.61,1387825.0,51200.0,77.53,73.11,75.3,71.66,28.99,18.57,8614000000.0,13029000000.0,91.43,0.93,114.0,6.1,2.41,172.56,1.4,3.54,-0.95,-25865.0,564419982.9,2.11,14.92,66.94,18.14,-1.44,,50.77,3270943.0,,2.5,0.39,88.82,26.19,36.6,35.5,30.05,2.4,3.1,1654279.0,50.58,88.24,84.97,43.58,3925.17,28.57,51210.0,93620000.0,13.83,9475044026.0,,14.9,1616664.0,49.43,21.76,17.22
73.7,8.5,57.5,45.63,1.79,2593.0,9.73,0.46,23.58,1002.4,,,,2.97,3.0,147.63,-314582867.6,9.46,5.2,2.68,28.39,41.91,10.68,1981527906.0,2.79,59.27,5.55,3.91,98.28,26.71,151364.0,0.39,18750946600.0,11.92,16500.0,42718599230.0,,90000000.0,30.9,0.33,23428722.0,95.0,97.0,46.84,228.0,33.04,7.24,10.55,59.26,69.35,47.33,1114453.0,566730.0,63.59,58.69,61.14,90.5,3.57,28.73,7420000000.0,8400000000.0,84.37,3.05,160.74,39.9,0.52,37.25,3.18,3.23,-0.09,1816.0,96430000.31,0.0,32.91,63.49,3.59,1.64,,50.64,2588423.0,17.2,22.9,0.43,,10.77,27.4,2.4,32.86,21.3,38.1,736148.0,28.44,93.72,70.02,22.9,311.0,3.25,581730.0,10320000.0,2.0,4801608912.0,,23.11,1852275.0,71.56,29.25,28.48
99.5,-0.25,43.11,28.64,6.56,529115.0,1.19,6.97,12.88,4477.4,408419.0,359875.0,11801530.0,3.16,1.32,115.35,-46357789405.0,8.33,8.8,3.96,31.79,19.11,35.78,572000000000.0,1.64,369.47,19.84,13.8,112.13,59.27,4953913.67,13.66,1670000000000.0,4.76,17120.0,3670000000000.0,5.5,231590000.0,17.16,9.0,6350128610.0,68.0,73.0,18.55,49.0,22.12,8.3,,52.31,72.79,43.14,106047171.0,8358140.0,76.01,69.56,72.75,108.55,30.37,30.68,281000000000.0,235000000000.0,30.86,1.16,102.49,14.3,0.07,5.2,2.69,7.48,-4.14,20376.0,1114540039.0,0.93,20.54,69.88,9.58,0.53,42.37,50.87,214326223.0,0.6,4.7,0.44,,15.2,46.5,5661.0,27.33,13.1,18.3,27182995.0,12.68,103.47,106.65,56.83,3467.56,21.74,8515770.0,184480000.0,46.72,362000000000.0,93.0,13.16,187143228.0,87.32,25.44,32.17
100.0,,32.76,46.67,,,,6.67,7.63,,,,,,,,,7.61,8.7,,,,,,1.01,,20.89,59.7,,24.13,36.2,,,,,,2.87,,,,,,,,3.8,,,,,,,,150.0,77.46,71.75,74.49,,,,,,,,120.95,13.5,,,,,,128.0,,6.67,15.21,75.32,9.47,0.68,,51.88,31122.0,,,,,,1.3,,,,,15897.0,51.08,122.09,84.1,32.71,2183182.32,,150.0,,,,85.0,,15225.0,48.92,,
100.0,23.99,39.19,2.54,1.26,1186.0,1.08,0.76,13.8,2733.3,676.0,1302.0,,1.06,0.38,95.83,1570169313.0,5.21,11.1,6.33,,80.17,,,1.78,177.25,17.58,24.9,116.45,72.11,3800.0,78.67,14006496617.0,-1.59,79870.0,35572863605.0,,,49.74,1.36,30923034.0,99.0,99.0,66.95,61.0,62.7,1.73,,55.06,71.87,41.7,220478.0,5270.0,76.88,72.6,74.64,120.03,7.2,3.32,11058000000.0,8575000000.0,140.17,3.24,135.5,9.8,,,,,,-192.0,,1.14,22.35,71.84,5.81,0.82,,48.26,445373.0,,,0.4,,9.09,0.0,8.5,,,,95515.0,21.45,96.24,89.12,30.22,14293.64,,5770.0,,,4982141346.0,79.71,4.91,349858.0,78.55,6.77,4.44
99.8,8.53,57.27,46.49,4.37,464.0,24.17,32.24,8.5,5949.6,6092.0,6442.0,245160.0,0.71,0.45,113.36,-1515830000.0,21.7,7.4,4.72,30.07,61.4,55.69,44946801414.0,1.58,131.06,32.77,11.5,109.51,35.98,39060.0,6.0,84041493016.0,7.66,28240.0,194000000000.0,4.73,,20.11,10.92,2629729427.0,89.0,89.0,59.57,17.0,20.85,3.3,1.28,49.03,62.0,46.13,3268751.0,108560.0,75.1,68.0,71.46,91.34,49.4,32.31,41157000000.0,46210000000.0,103.96,1.52,114.77,6.3,,,0.86,5.51,-4.65,-8716.0,,1.37,13.99,63.58,22.42,-0.81,18.67,51.5,6877743.0,0.1,2.5,0.42,94.26,23.75,20.4,21.0,25.64,,,1648939.0,23.98,95.61,98.71,85.3,52132.95,21.61,111000.0,,10.97,39187742752.0,,5.27,5228804.0,76.03,5.91,8.53
19.0,,87.4,46.56,17.29,3007.0,6.54,22.3,35.54,1095.7,537386.0,556526.0,,46.53,27.62,111.24,77255404.0,8.96,2.1,5.43,18.23,32.89,55.0,10295692321.0,4.77,11.91,0.07,0.37,109.25,22.54,61664.0,0.25,19643166854.0,6.94,2350.0,51973743214.0,5.22,1287810000.0,17.06,2.26,3595403.0,91.0,88.0,29.71,45.0,28.55,3.65,,57.8,72.77,45.2,8049004.0,273600.0,60.99,57.47,59.27,95.11,,,5043000000.0,4614000000.0,49.16,2.4,111.66,81.4,8.6,72.87,2.13,8.32,-6.25,-13097.0,1610540039.0,2.34,44.09,53.36,2.55,2.65,13.19,50.18,22100683.0,0.6,16.2,0.36,63.84,6.3,71.2,12.5,18.11,58.4,84.1,15196430.0,68.76,87.12,38.29,9.36,11.0,,274220.0,109530000.0,7.55,,90.98,5.11,6904253.0,31.24,87.52,80.24
10.2,,95.2,81.89,28.66,,2.78,49.45,34.84,1478.5,,,,58.91,14.62,118.07,-393879529.0,7.47,6.5,7.48,15.12,5.0,35.05,975830735.5,5.08,19.07,0.03,0.12,119.32,10.89,2796.4,0.01,2775798697.0,3.1,870.0,10879490984.0,4.87,501290000.0,12.57,0.25,52895.0,94.0,90.0,23.82,100.0,10.6,8.4,,79.14,78.45,51.1,5311768.0,25680.0,63.61,59.71,61.66,130.35,7.02,2.79,163000000.0,1025000000.0,42.8,2.04,61.67,52.3,21.85,48.46,2.03,2.75,-0.72,-14415.0,608239990.2,13.63,46.29,51.23,2.48,2.67,,50.35,12551213.0,0.9,,0.26,,38.21,83.1,10.06,17.55,99.9,100.0,10786763.0,85.94,,,6.29,6.53,0.1,27830.0,28620000.0,10.97,266164087.5,,1.11,1764450.0,14.06,90.49,77.28
95.5,23.75,47.18,19.6,5.97,1625.25,57.18,12.41,16.95,16.3,3433.0,3472.0,79754.0,13.97,4.51,70.52,-250632065.1,6.03,2.1,2.45,,23.85,104.61,2060326348.0,1.9,5.37,5.91,10.6,75.92,11.42,460.2,0.0,2051842610.0,7.03,6660.0,3915787459.0,6.04,66960000.0,17.57,2.04,134350.0,93.0,95.0,53.61,35.0,12.52,1.86,,49.15,61.74,44.95,238872.0,4030.0,78.46,69.59,74.05,84.62,1.18,27.1,55000000.0,821000000.0,42.69,0.58,100.38,12.8,7.18,247.04,,,,-1274.0,145240005.5,0.99,26.61,67.95,5.44,0.9,,50.28,587925.0,0.9,18.2,0.52,87.52,38.89,22.6,0.3,,13.5,21.7,193416.0,32.9,96.4,86.49,,569.8,0.0,4030.0,25330000.0,11.2,769650450.7,93.49,13.91,394509.0,67.1,44.74,26.96
82.5,17.34,53.45,34.55,22.85,390.66,1.81,23.34,19.33,3565.6,69264.0,90163.0,732387.0,21.37,9.67,131.19,-10892923222.0,6.84,7.3,4.96,18.45,66.75,78.45,20050196517.0,2.34,49.58,1.98,0.24,124.71,44.83,79126.8,0.0,26961061152.0,3.03,4430.0,73412513745.0,3.01,507570000.0,33.71,2.98,454908154.0,87.0,83.0,62.36,282.0,36.83,2.92,,70.15,82.31,47.25,8922729.0,176520.0,72.29,66.82,69.58,94.16,13.69,0.26,19307000000.0,28583000000.0,177.63,2.35,119.96,24.6,5.35,82.41,-3.82,3.23,-7.05,-24262.0,1367050049.0,2.71,29.3,65.17,5.53,1.17,12.92,50.5,16589023.0,0.5,4.8,0.35,94.66,21.6,52.4,120.6,18.15,,,12496843.0,75.33,108.74,57.96,13.88,170.23,21.89,181040.0,119990000.0,10.58,20269721098.0,100.0,0.4,4092180.0,24.67,60.98,45.2
65.4,-1.61,82.26,20.63,16.97,5017.0,0.4,13.12,34.94,1726.7,,,,16.24,6.14,106.66,-1794494947.0,8.58,5.5,4.23,12.43,16.52,34.73,15373626443.0,4.46,13.39,2.23,3.22,104.44,42.91,202844.8,51.87,44993521774.0,3.34,4660.0,127000000000.0,2.83,558210000.0,13.95,2.15,5718462.0,69.0,62.0,20.23,164.0,24.5,2.27,,66.7,75.15,47.5,11098782.0,472710.0,62.02,58.69,60.33,105.76,11.69,7.61,4317000000.0,6981000000.0,25.11,0.98,79.97,72.2,2.58,41.95,-0.23,2.38,-2.75,-9889.0,1140959961.0,3.28,42.43,54.87,2.7,2.64,29.26,50.13,27198628.0,2.8,6.4,0.35,68.73,33.89,79.2,273.0,13.75,54.4,50.6,11383170.0,41.85,108.44,45.03,16.91,17.28,15.17,475440.0,161420000.0,25.55,4299788713.0,81.65,3.95,15815458.0,58.15,81.17,64.17
100.0,7.58,52.1,6.48,,571070.08,1.27,4.35,9.7,3120.0,49501.0,42394.0,7169607.0,0.1,0.06,84.04,256504117.9,8.2,7.7,6.55,19.7,31.22,,,1.44,126.06,41.69,31.7,95.47,39.47,3468911.13,25.87,2010000000000.0,5.29,55300.0,2110000000000.0,4.75,,23.29,15.05,29240972618.0,92.0,90.0,31.21,5.7,,3.4,2.07,60.62,69.62,47.12,20967796.0,8788700.0,84.02,79.27,81.59,118.15,48.78,34.87,508000000000.0,506000000000.0,50.51,1.27,88.09,5.0,,,0.65,4.69,-4.02,195181.0,,0.02,15.73,65.75,18.52,0.55,45.99,50.31,38239864.0,,2.5,0.94,,30.47,23.8,2850.0,15.33,0.2,0.0,7015868.0,18.35,96.29,109.33,77.8,43542.23,,15634410.0,,,107000000000.0,,7.53,31223996.0,81.65,8.74,11.48
100.0,,32.64,11.25,0.45,,,0.83,12.4,,620.0,107.0,,,,,-821403652.3,4.0,13.0,1.93,,,,,,,45.64,51.3,,52.75,126.6,1.62,6060026510.0,4.9,52920.0,3605652285.0,1.31,,,67.77,7773206.0,,,,3.4,8.37,,,,,,,240.0,83.7,80.4,82.01,,,,17000000.0,1532000000.0,25.56,,146.77,,,,,,,276.0,,2.08,16.78,75.39,7.82,1.22,,49.52,68136.0,,,1.17,101.5,,0.0,,,,,0.0,0.0,86.71,101.5,48.18,5929.32,,264.0,,,228300000.0,100.0,,68136.0,100.0,,
11.3,,98.73,39.98,25.3,,5.86,4.21,43.36,814.3,496594.0,289316.0,,32.71,8.68,101.49,,12.5,5.8,4.34,,38.75,30.89,3585529285.0,6.26,2.24,0.0,0.03,122.86,3.34,42013.33,,11779981332.0,-1.17,1740.0,29863101073.0,2.89,616160000.0,,,,58.0,55.0,44.23,140.0,39.59,-0.77,,48.09,70.42,40.85,5322620.0,1259200.0,54.28,50.85,52.53,136.0,,,2711000000.0,1638000000.0,36.92,2.81,60.22,106.4,6.29,42.52,,,,9016.0,730440002.4,0.03,47.66,50.32,2.02,3.16,8.59,49.8,17179740.0,1.1,31.4,0.39,43.53,32.26,69.9,15.0,,77.7,82.1,13094226.0,76.22,89.42,24.09,,1.28,15.11,1284000.0,40620000.0,8.1,211590754.9,63.13,1.51,4085514.0,23.78,95.96,85.69
100.0,,45.96,43.28,0.88,,,18.33,10.12,,,,,1.32,0.61,,,8.45,6.3,,,,,,1.46,,,,,5.15,10.2,,11138490592.0,15.46,,,,,,,,,,,,8.85,,,51.22,65.01,44.74,84888.0,198.0,83.36,79.12,81.23,,,,,,,,,,,,,,,1242.0,,,15.26,68.51,16.23,0.91,,50.52,172683.0,,,,,,,,,,,119131.0,68.99,,,,,,198.0,,,,,6.61,53552.0,31.01,8.95,13.04
100.0,-3.74,45.22,14.25,3.5,95001.0,4.0,1.77,11.79,6491.2,20885.0,12692.0,4335451.0,1.1,0.62,107.19,-22962267946.0,7.43,10.8,3.46,30.8,31.97,,,1.54,359.05,22.01,12.9,106.73,24.66,183336.2,0.82,316000000000.0,11.33,27410.0,534000000000.0,5.0,,16.63,12.44,1264185464.0,95.0,92.0,32.86,16.0,30.88,4.52,3.63,46.6,68.8,41.02,9147766.0,743532.0,81.44,76.47,78.94,105.72,7.74,20.37,94775000000.0,92397000000.0,59.32,1.93,136.31,6.6,,,-1.65,6.07,-7.72,113709.0,,0.67,18.46,68.86,12.68,0.99,34.94,50.37,19493184.0,0.6,2.5,0.56,99.22,35.48,24.2,885.0,24.15,13.8,14.3,2374855.0,12.18,99.37,106.67,96.22,12700.9,,756700.0,,,51252167800.0,,9.33,17118329.0,87.82,22.1,21.67
100.0,16.33,44.55,55.46,7.24,3906386.0,20.21,11.6,7.52,6316.7,,,256945700.0,15.84,5.51,109.76,353000000000.0,7.18,10.6,6.3,,19.94,15.27,2700000000000.0,1.16,374.81,37.56,12.7,109.89,23.63,2218577.5,1.29,17800000000000.0,8.45,20260.0,28600000000000.0,3.99,159010000.0,45.47,30.22,936000000000.0,99.0,99.0,17.36,55.0,39.29,0.98,,61.53,72.57,45.37,780370660.0,9388210.0,81.16,75.46,78.21,108.08,61.86,41.45,3320000000000.0,2680000000000.0,33.64,1.61,121.54,7.0,0.0,-0.4,,2.07,,-200194.0,-564140014.6,2.02,17.67,69.18,13.15,0.09,29.77,48.94,1412360000.0,,2.5,0.62,,24.94,15.2,2812.9,8.47,7.5,6.7,529465517.0,37.49,99.43,,67.39,1083.91,42.19,9562910.0,489390000.0,8.69,3430000000000.0,,4.55,882894483.0,62.51,43.64,40.97
100.0,1.6,43.5,38.5,7.77,273874.0,1.37,1.8,14.2,4280.2,126650.0,148304.0,4901510.0,4.98,1.75,108.9,-17949402964.0,7.74,8.3,2.33,26.25,16.2,54.99,172000000000.0,1.72,615.31,16.48,14.8,108.96,53.13,589426.27,46.3,319000000000.0,10.8,17310.0,892000000000.0,,1233500000.0,13.06,8.21,735066988.0,86.0,86.0,23.86,41.0,24.56,3.5,27.48,51.69,77.55,41.08,25983568.0,1109500.0,76.44,69.4,72.83,109.69,40.8,24.86,40287000000.0,61101000000.0,31.83,3.24,145.69,12.8,0.61,37.21,-1.35,7.03,-8.25,211978.0,1916930054.0,2.26,21.6,69.68,8.72,1.14,44.12,50.67,51516562.0,0.5,6.6,0.35,99.19,18.82,29.7,2145.0,18.5,7.5,17.8,9406924.0,18.26,106.49,102.99,58.32,641.95,27.33,1140619.05,167580000.0,44.63,58018679407.0,98.03,13.9,42109638.0,81.74,47.09,48.73
87.9,5.41,74.12,71.47,35.51,,0.83,34.93,29.4,1767.2,16966.0,16156.0,,4.23,3.29,107.72,-4075858.93,8.72,11.7,4.27,,10.81,26.9,350292378.6,3.98,1.92,0.15,0.91,106.13,17.45,324.8,0.05,1296089480.0,2.11,3440.0,2829213813.0,2.27,118130000.0,14.75,0.21,28418.0,91.0,90.0,31.47,35.0,9.27,,,33.02,54.78,37.64,222655.0,1861.0,65.83,61.25,63.42,96.24,,,34000000.0,327000000.0,27.85,,103.87,49.8,11.8,187.0,,,,-1772.0,153639999.4,28.48,38.26,57.43,4.3,1.9,,49.77,821625.0,0.1,13.5,0.46,,16.67,41.2,1.2,,47.2,45.2,578317.0,70.39,85.26,,,18.26,0.54,1861.0,16710000.0,2.54,329671752.0,56.77,5.86,243308.0,29.61,67.08,50.18
20.8,-11.19,97.97,14.95,19.04,4874.1,0.08,6.03,42.05,879.0,,,,27.43,16.5,118.6,-587406970.4,9.7,5.8,12.51,9.23,40.39,17.22,9186211933.0,6.16,2.09,0.03,0.0,118.0,55.16,1250538.63,0.0,55328482784.0,6.2,1310.0,126000000000.0,2.66,2697470000.0,26.46,0.08,4658514.0,65.0,55.0,40.1,318.0,45.34,,,62.48,69.05,48.31,33694649.0,2267050.0,61.52,56.95,59.19,107.2,,,21412000000.0,7214000000.0,51.74,0.54,48.89,78.2,6.77,37.65,1.4,1.56,-0.25,-64643.0,3610189941.0,0.89,46.53,50.51,2.96,3.22,24.02,50.39,95894118.0,0.6,35.3,0.42,82.65,12.8,96.3,900.0,10.57,,,51557473.0,53.77,122.39,56.89,,4.86,13.13,2344860.0,160520000.0,1.45,3467115961.0,100.0,5.27,44336645.0,46.24,88.56,77.68
49.7,,78.82,31.27,9.1,1929.0,0.02,1.61,30.69,887.4,,,1003734.0,3.42,2.87,104.78,1715906879.0,7.06,5.5,6.72,16.13,52.84,57.96,8254233304.0,4.17,9.75,0.26,,105.06,64.22,219310.0,55.09,14825690210.0,1.02,6070.0,35450234462.0,3.67,102960000.0,38.85,6.54,38829158.0,77.0,68.0,32.71,370.0,42.89,1.72,,66.76,68.12,49.9,2306220.0,341500.0,64.94,62.12,63.52,105.77,47.46,2.42,7390000000.0,2352000000.0,65.71,2.48,96.79,43.2,1.43,34.96,2.68,1.45,1.31,-4466.0,204020004.3,0.37,41.4,55.92,2.68,2.32,63.81,50.06,5835806.0,4.0,33.3,0.4,,11.26,71.4,222.0,20.05,,,1850943.0,31.72,,,,10.28,34.99,342000.0,27880000.0,4.43,828560334.6,,22.08,3984863.0,68.28,88.17,61.94
100.0,16.92,45.09,35.47,4.37,19350.0,3.05,4.76,11.87,4672.8,9944.0,10929.0,1523198.0,2.28,0.99,97.42,-2060747763.0,7.19,8.8,1.99,20.94,36.18,56.18,34107656209.0,1.53,595.83,20.92,9.95,101.32,59.76,30512.4,0.02,64960725734.0,7.94,22150.0,114000000000.0,6.25,132700000.0,14.41,16.97,1457228331.0,93.0,89.0,34.61,10.0,20.61,1.73,11.41,50.11,73.52,40.76,2529009.0,51060.0,79.81,74.42,77.02,113.15,55.38,14.16,15494000000.0,20728000000.0,55.76,,152.01,7.9,0.13,15.39,,,,2084.0,79309997.56,7.21,20.55,68.92,10.53,0.6,27.56,49.97,5153957.0,0.5,3.0,0.53,99.08,45.61,34.2,113.0,16.83,10.7,12.3,957348.0,18.58,108.85,141.2,,1689.58,67.67,51100.0,19140000.0,12.63,6921168831.0,,15.14,4196609.0,81.43,22.07,26.67
71.1,,79.21,73.9,16.18,11812.0,1.51,11.01,33.93,2237.2,290304.0,171637.0,1042418.0,18.32,9.2,129.93,-2874116509.0,9.0,2.1,3.3,16.38,22.3,42.97,29895086912.0,4.42,45.88,1.13,0.9,119.97,8.57,27238.27,11.21,72794636654.0,7.06,6320.0,174000000000.0,3.33,588390000.0,19.05,3.86,56851004.0,76.0,68.0,22.82,128.0,22.1,4.09,,56.55,71.61,43.5,10263449.0,318000.0,59.94,57.4,58.6,117.98,23.44,14.99,15334000000.0,13966000000.0,40.25,0.91,162.17,71.5,2.23,57.37,-0.35,5.07,-5.45,-21000.0,1576310059.0,21.38,41.8,55.8,2.4,2.46,19.49,49.5,27478249.0,1.9,7.7,0.41,73.71,14.17,58.2,76.84,12.66,100.0,100.0,13140099.0,47.82,92.72,57.28,10.23,60.88,,322460.0,108140000.0,10.35,,100.0,2.59,14338150.0,52.18,81.35,63.55
100.0,8.27,56.52,26.38,3.28,15982.0,1.76,15.31,9.4,7012.9,,,379623.0,2.01,1.21,94.56,651685072.9,16.2,4.8,2.91,31.65,49.35,,,1.62,208.08,26.72,32.3,97.37,34.7,19416.1,11.87,69602166351.0,13.04,37240.0,144000000000.0,4.06,,23.56,9.61,1330725251.0,92.0,89.0,52.08,4.4,20.04,2.55,0.81,45.75,58.25,45.73,1724579.0,55960.0,79.6,73.4,76.42,102.42,47.37,32.65,21878000000.0,34527000000.0,81.04,2.01,108.43,4.6,,,2.52,5.12,-2.57,-10402.0,,1.41,14.14,63.89,21.97,-4.26,,51.31,3878981.0,0.1,2.5,0.48,98.01,31.13,34.1,37.7,29.53,0.5,0.2,1633904.0,42.12,99.74,105.88,78.01,25479.37,,88070.0,,,28308830586.0,,7.61,2245077.0,57.88,5.88,8.52
100.0,,45.92,61.67,0.88,756.0,18.25,28.02,8.92,2406.1,7295.0,9014.0,246352.0,1.6,1.08,66.07,,14.65,7.6,1.35,,34.89,,,1.44,25.57,2.67,13.8,69.06,31.23,32420.0,,,1.25,,,9.39,104120000.0,,,,99.0,99.0,45.13,6.6,23.35,,,40.46,67.68,38.09,5106046.0,103800.0,76.36,71.25,73.68,78.64,63.43,16.22,1966000000.0,8431000000.0,,,63.1,7.6,,13.54,,,,-7068.0,152399993.9,6.29,15.8,68.53,15.67,-0.39,19.04,50.35,11256372.0,0.6,2.5,,96.63,53.41,20.9,38.12,,,,2556097.0,22.71,100.47,99.64,51.08,107.41,,109880.0,21580000.0,,,100.0,1.37,8700275.0,77.29,18.4,23.18
100.0,,47.02,,0.26,,,,8.6,,,,92640.0,,,,-508758155.4,11.1,11.7,10.39,,,,,1.4,,32.57,28.7,,0.16,0.7,,2739608133.0,4.2,25460.0,3878700958.0,,,,,,,,,3.6,11.44,,,,,,,444.0,,,,,,,344000000.0,1483000000.0,66.69,,88.27,,,,,,,502.0,,,17.4,68.02,14.58,-1.68,,52.08,152369.0,,,0.71,,,2.8,,,,,16703.0,10.96,,,15.75,4948.51,,444.0,,,,,,135666.0,89.04,,
100.0,1.92,43.81,13.33,1.63,1423.0,30.13,10.3,10.31,2063.5,,,319131.0,0.58,1.09,84.41,-1811809641.0,7.26,8.6,2.45,31.7,89.41,,,1.32,155.4,37.67,33.7,111.12,18.67,1725.1,26.25,29482912835.0,9.91,44210.0,39808597879.0,5.24,,13.36,15.97,88015705.0,96.0,86.0,85.45,4.4,11.91,2.45,1.29,57.69,70.01,45.34,667244.0,9240.0,83.2,79.21,81.2,125.98,35.48,29.79,3905000000.0,10397000000.0,48.51,1.91,148.74,3.4,,,-3.16,-0.28,-2.96,1995.0,,2.79,15.98,69.54,14.48,0.54,,49.91,1244188.0,0.1,2.5,0.68,99.98,14.29,15.6,0.78,29.08,0.3,0.1,412374.0,33.14,99.1,102.5,96.54,58573.14,,9250.0,,,1611044560.0,100.0,7.51,831814.0,66.86,8.08,11.41
