Access to electricity (% of population),"Adjusted net savings, including particulate emission damage (% of GNI)",Age dependency ratio (% of working-age population),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, registered carrier departures worldwide","Annual freshwater withdrawals, total (% of internal resources)",Arable land (% of land area),"Birth rate, crude (per 1,000 people)",Cereal yield (kg per hectare),"Children out of school, primary, female","Children out of school, primary, male",Container port traffic (TEU: 20 foot equivalent units),"Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)",Crop production index (2014-2016 = 100),"Current account balance (BoP, current US$)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Expense (% of GDP),Exports of goods and services (% of GDP),External debt stocks (% of GNI),"External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)",Fertilizer consumption (kilograms per hectare of arable land),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),Food production index (2014-2016 = 100),Forest area (% of land area),Forest area (sq. km),Fuel exports (% of merchandise exports),GDP (current US$),GDP growth (annual %),"GNI per capita, PPP (current international $)","GNI, PPP (current international $)","Government expenditure on education, total (% of GDP)","Grants, excluding technical cooperation (BoP, current US$)",Gross savings (% of GDP),High-technology exports (% of manufactured exports),High-technology exports (current US$),"Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Incidence of tuberculosis (per 100,000 people)","Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force, female (% of total labor force)","Labor force, total",Land area (sq. km),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Livestock production index (2014-2016 = 100),Medium and high-tech exports (% manufactured exports),Medium and high-tech manufacturing value added (% manufacturing value added),Merchandise exports (current US$),Merchandise imports (current US$),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net ODA received (% of GNI),Net ODA received per capita (current US$),Net acquisition of financial assets (% of GDP),"Net incurrence of liabilities, total (% of GDP)",Net lending (+) / net borrowing (-) (% of GDP),Net migration,Net official development assistance received (current US$),Permanent cropland (% of land area),Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),"Population, female (% of total population)","Population, total","Prevalence of HIV, total (% of population ages 15-49)",Prevalence of undernourishment (% of population),Price level ratio of PPP conversion factor (GDP) to market exchange rate,"Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Renewable internal freshwater resources, total (billion cubic meters)","Revenue, excluding grants (% of GDP)",Risk of catastrophic expenditure for surgical care (% of people at risk),Risk of impoverishing expenditure for surgical care (% of people at risk),Rural population,Rural population (% of total population),"School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Secure Internet servers (per 1 million people),Short-term debt (% of total reserves),Surface area (sq. km),"Technical cooperation grants (BoP, current US$)","Total debt service (% of exports of goods, services and primary income)","Total reserves (includes gold, current US$)",Trained teachers in primary education (% of total teachers),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population),"Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
100.0,6.42,53.71,47.26,2.3,15844.0,2.33,4.06,12.1,2547.7,11816.0,12074.0,1619953.5,0.26,0.21,129.02,-319279309.5,6.7,6.4,4.1,24.83,21.98,51.52,13759708513.0,1.7,82.62,35.84,25.9,107.15,17.42,20515.57,3.38,28144331507.0,2.11,56780.0,70041413822.0,5.33,258655000.0,25.77,5.99,95210004.0,95.0,93.0,17.73,6.5,25.42,2.86,2.455,61.22,70.62,47.17,13806208.0,91605.6,85.4,81.3,83.3,87.88,11.99,31.28,8031000000.0,10024000000.0,38.87,1.99,104.52,3.8,3.265,60.85,0.665,4.69,-4.13,-563.5,480160003.65,0.05,18.37,65.06,16.57,0.14,21.72,50.36,25685412.0,0.1,2.5,1.06,97.09,31.13,12.3,32.15,25.66,8.55,13.9,3502976.0,13.64,99.93,95.23,55.27,597.575,22.02,100430.0,62150000.0,14.025,57877502314.0,94.645,5.12,22182436.0,86.36,7.11,9.91
100.0,8.385,51.12,31.48,1.22,15844.0,5.71,15.99,9.6,7112.4,11816.0,12074.0,1619953.5,1.17,1.14,100.74,-319279309.5,10.3,4.6,2.86,24.83,55.95,51.52,13759708513.0,1.48,128.57,29.25,42.5,100.48,47.29,39027.4,2.47,28144331507.0,4.24,64410.0,577000000000.0,5.49,258655000.0,29.31,11.02,95210004.0,86.0,99.0,55.03,5.0,26.07,2.77,2.455,56.1,66.44,46.93,4688653.0,82520.0,83.7,78.8,81.19,100.31,61.75,44.84,8031000000.0,10024000000.0,88.11,0.87,121.97,3.3,3.265,60.85,0.665,5.26,-4.13,-563.5,480160003.65,0.82,14.39,66.17,19.44,0.44,21.72,50.78,8955797.0,0.4,2.5,0.84,99.82,40.44,36.0,55.0,20.955,8.55,13.9,3672325.0,41.01,101.64,102.31,55.27,597.575,22.02,83879.0,62150000.0,14.025,33957000221.0,94.645,6.46,5283472.0,59.0,7.75,8.33
100.0,9.28,44.18,57.84,5.73,15844.0,9.245000000000001,25.28,11.1,3297.4,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,142.51,-319279309.5,7.6,5.6,4.73,21.69,46.49,51.52,15647994867.0,1.52,105.59,20.09,16.1,126.99,13.83,11432.97,3.38,54825411765.0,5.62,19690.0,200000000000.0,3.7,58570000.0,32.53,2.1,22212874.0,89.0,93.0,29.8,62.0,48.82,6.65,2.455,65.65,71.05,49.95,5263181.0,82650.0,73.29,65.65,69.37,118.46,40.11,12.98,22208000000.0,11703000000.0,61.85,1.495,104.89,18.8,0.02,0.96,0.665,4.69,-4.13,1084.0,9760000.23,3.32,23.92,69.36,6.72,0.44,23.39,50.65,10137750.0,0.1,2.5,0.27,96.56,18.18,1.3,8.12,20.955,8.55,13.9,4381941.0,43.22,97.73,91.43,39.01,416.86,22.02,86600.0,93380000.0,14.025,8290112835.0,94.645,6.04,5755809.0,56.78,59.76,47.91
100.0,8.385,39.26,1.3,0.48,27092.68,9.245000000000001,0.8,11.45,7477.3,11816.0,12074.0,1619953.5,0.3,0.34,101.75,-2433986830.0,8.99,8.8,2.87,26.11,29.5,51.52,13759708513.0,1.39,102.32,20.74,21.6,98.72,50.94,5098.6,3.38,11368900000.0,5.15,27240.0,11111812556.0,3.01,258655000.0,9.25,5.99,354749.0,86.0,82.0,43.45,12.0,11.22,2.9,2.455,64.29,77.1,48.25,230610.0,10010.0,75.1,68.12,71.6,91.86,36.41,27.77,543000000.0,3483000000.0,35.41,1.495,97.42,13.1,3.265,60.85,0.665,4.69,-4.13,485.0,480160003.65,0.3,19.62,71.81,8.57,0.35,21.72,52.19,407906.0,1.0,5.2,0.98,97.09,17.95,1.1,0.7,16.78,8.55,13.9,67855.0,16.64,93.82,95.23,55.27,2686.89,22.02,13880.0,62150000.0,14.025,2432716261.0,94.645,11.69,340051.0,83.37,8.64,22.43
100.0,8.385,31.35,10.25,0.28,29475.0,9.245000000000001,2.66,11.93,3062.55,11816.0,12074.0,1619953.5,0.68,0.4,106.7,2602393617.0,2.48,11.3,9.23,24.83,34.89,51.52,13759708513.0,1.81,92.2,16.51,17.5,124.25,0.91,7.2,0.05,39288670213.0,2.59,50850.0,74413767935.0,2.22,258655000.0,32.17,0.59,18783670.0,98.0,99.0,70.19,15.0,44.97,-0.61,2.455,43.67,69.39500000000001,44.875,833682.0,790.0,80.02,77.76,78.76,128.38,29.45,24.63,22369000000.0,14188000000.0,93.05,1.495,131.45,6.7,3.265,60.85,0.665,4.69,-4.13,-9150.0,480160003.65,2.53,20.38,76.13,3.49,-0.97,21.72,50.355000000000004,1463265.0,0.4,5.2,0.49,97.09,15.0,0.0,0.0,20.955,8.55,13.9,151858.0,10.38,99.91,95.23,70.76,4001.33,22.02,790.0,62150000.0,14.025,4993195963.0,94.645,1.55,1311407.0,89.62,1.0,1.08
99.0,8.385,47.67,77.35,11.63,50991.0,34.16,10.295,17.82,4919.6,11816.0,12074.0,1619953.5,29.24,3.43,116.46,-319279309.5,5.68,14.2,1.93,24.83,10.66,51.52,13759708513.0,1.98,92.2,6.64,0.17,121.59,14.47,18834.0,3.38,416000000000.0,6.94,7750.0,70041413822.0,1.83,258655000.0,36.05,5.99,95210004.0,98.0,97.0,17.06,221.0,33.32,5.55,2.455,37.87,80.49,32.78,4154629.0,130170.0,74.27,70.6,72.38,105.97,1.87,7.81,44223000000.0,80448000000.0,29.95,1.2,108.91,29.8,1.16,30.05,0.665,4.28,-4.13,-563.5,480160003.65,10.43,26.45,67.72,5.83,1.15,15.87,50.4,6719538.0,0.1,11.2,0.33,97.09,20.86,25.0,105.0,20.955,8.55,13.9,1735323.5,61.05,99.91,70.29,55.27,226.42,22.02,147570.0,62150000.0,11.49,46165532457.0,94.645,5.82,4022829.0,38.95,66.56,50.04
100.0,8.385,48.98,23.26,1.91,15844.0,9.245000000000001,16.28,10.83,2759.3,11816.0,12074.0,1619953.5,0.07,0.07,90.63,-319279309.5,9.01,14.0,4.01,24.83,30.23,51.52,13759708513.0,1.63,37.2,36.35,42.9,89.53,14.65,63.0,4.66,4945276000.0,-1.18,14470.0,4067837443.0,4.86,258655000.0,22.195,17.16,19196509.0,82.0,77.0,39.64,0.41,12.63,3.4450000000000003,2.455,58.32,64.43,50.18,142587.0,430.0,79.36,75.63,77.57,89.16,27.75,38.11,350000000.0,1674000000.0,40.93,1.495,112.6,11.2,3.265,60.85,0.665,4.69,-4.13,-28.0,480160003.65,2.33,17.16,67.12,15.72,0.18,21.72,52.05,281200.0,1.0,2.5,0.44,100.24,20.0,5.5,0.08,20.955,8.55,13.9,193336.0,68.75,98.15,104.71,55.27,917.5,22.02,430.0,62150000.0,14.025,1672884485.0,94.645,9.42,87864.0,31.25,13.83,26.15
100.0,8.385,50.76,40.28,6.71,12432.0,4.19,27.71,9.28,3018.7,11816.0,12074.0,1619953.5,0.02,0.02,89.63,2157306620.0,8.129999999999999,5.6,6.18,24.83,70.83,62.06,13759708513.0,1.48,169.37,35.01,46.8,101.55,43.27,87821.0,3.38,69673747132.0,2.44,26600.0,247000000000.0,4.61,63740000.0,29.66,6.02,922201805.0,98.0,98.0,65.18,28.0,32.14,3.4450000000000003,2.455,59.43,71.4,50.35,5014861.0,202950.0,77.7,67.3,72.37,110.96,36.27,37.78,39762000000.0,41387000000.0,116.47,1.12,122.78,2.7,0.21,15.02,0.665,4.69,-4.13,12961.0,139710006.7,0.47,16.84,66.33,16.83,-0.83,21.92,50.355000000000004,9302585.0,0.4,2.5,0.27,93.54,40.0,8.2,34.0,16.93,8.55,13.9,1868889.0,20.09,94.53,95.21,73.96,9313.43,22.02,207630.0,80760000.0,14.025,8424740406.0,94.645,3.9,7433696.0,79.91,2.63,5.28
100.0,8.385,56.51,45.1,0.64,73673.1,35.19,28.59,10.2,7906.2,11816.0,12074.0,1619953.5,0.91,0.4,98.11,-319279309.5,9.7,3.6,3.86,28.35,34.89,51.52,13759708513.0,1.6,265.71,43.02,28.6,102.85,22.76,6893.0,8.82,28144331507.0,6.93,62770.0,727000000000.0,6.36,258655000.0,26.99,5.99,95210004.0,98.0,96.0,86.14,8.1,19.33,2.44,2.455,50.04,59.11,46.8,5259744.0,30280.0,84.3,79.4,81.79,105.47,60.9,53.1,8031000000.0,10024000000.0,57.73,1.05,101.11,3.8,3.265,60.85,0.665,4.69,-4.0,-563.5,480160003.65,0.78,16.69,63.89,19.42,0.41,27.13,50.61,11586195.0,0.2,2.5,0.83,97.09,42.0,11.7,12.0,23.89,8.55,13.9,218168.0,1.88,101.82,95.23,55.27,597.575,22.02,30530.0,62150000.0,14.025,41872371153.0,94.645,6.26,11368027.0,98.12,8.26,12.77
97.7,8.385,49.68,7.98,7.9,15844.0,0.66,4.38,17.98,4289.5,11816.0,12074.0,1619953.5,0.74,0.1,99.93,-157868365.2,6.35,14.5,4.78,24.83,47.66,61.8,1450204243.0,2.01,92.2,9.11,4.81,101.58,55.5,12658.9,1.97,2424575179.0,5.15,11190.0,4475681203.0,5.95,57610000.0,26.07,0.19,14461.0,83.0,79.0,51.49,27.0,17.23,3.24,2.455,48.36,75.29,39.13,177472.0,22810.0,74.33,67.12,70.47,108.06,0.08,18.46,422000000.0,1061000000.0,61.17,1.01,65.99,11.5,3.29,60.85,0.665,4.69,-4.13,577.0,77250000.0,1.4,28.24,66.81,4.96,1.29,21.72,49.7,400031.0,0.4,4.9,0.52,97.09,12.5,26.6,15.26,20.955,8.55,13.9,215213.0,53.8,105.28,88.74,55.27,597.575,22.02,22970.0,4050000.0,14.025,420102782.5,94.645,10.16,184818.0,46.2,27.16,24.49
