"Population, total",Population growth (annual %),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),Urban population (% of total population),Net migration,"Death rate, crude (per 1,000 people)","Life expectancy at birth, total (years)","Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
1244188.0,0.54,15.98,14.48,66.86,1995.0,7.26,81.2,0.1,3.4,99.1,102.5,55.27,7.51
10505772.0,-1.81,16.0,20.45,74.21,3621.0,13.3,77.22,0.1,2.8,101.68,102.09,69.84,2.8
5856733.0,0.43,16.17,20.27,88.24,-563.5,9.8,81.4,0.1,3.6,100.31,95.23,55.27,5.04
1105557.0,1.4,30.77,4.5,78.22,742.0,9.15,62.31,0.4,53.7,99.91,95.23,55.27,6.035
72412.0,0.58,19.86,9.32,71.4,57.0,8.99,72.81,0.4,31.7,92.49,87.17,55.27,6.035
11117873.0,1.07,27.36,7.17,83.21,-14966.0,6.68,72.62,1.0,33.2,96.87,75.7,56.47,7.7
17797737.0,1.18,26.1,7.64,64.36,-563.5,6.72,73.67,0.4,12.6,98.21,95.23,55.27,4.55
6719538.0,1.66,33.05,4.77,42.86,-563.5,6.33,70.22,0.1,18.7,99.75,85.59,55.27,7.44
6314167.0,0.34,25.76,8.15,74.12,-27343.0,8.66,70.75,0.5,12.3,89.4,95.23,30.13,4.33
1634466.0,2.38,38.77,3.15,73.56,6486.0,9.04,60.59,0.4,15.4,99.91,95.23,55.27,9.19
3620312.0,1.8,39.78,4.01,41.99,-14988.0,6.73,66.54,0.5,38.0,99.91,95.23,55.27,6.34
1330932.0,0.11,16.47,20.37,69.42,2995.0,14.0,76.94,0.7,2.0,98.81,113.01,73.15,6.18
1192271.0,0.98,35.03,3.99,24.37,-4897.0,11.36,57.07,0.4,51.6,99.91,95.23,55.27,6.035
6719538.0,2.6,39.96,3.14,22.17,-1391.0,6.78,64.98,0.8,48.0,102.68,95.23,55.27,3.94
52889.0,0.9,20.67,17.9,42.58,0.0,8.1,83.1,0.4,15.4,99.91,95.23,55.27,6.035
924610.0,0.45,28.91,5.72,57.74,-6003.0,8.86,67.11,0.3,27.7,110.81,92.15,76.65,4.68
5541017.0,0.21,15.43,22.89,85.6,14928.0,10.4,81.89,0.4,2.3,99.35,95.23,55.27,7.61
6719538.0,0.29,17.37,21.32,81.24,-563.5,9.8,82.32,0.3,4.1,102.58,104.52,69.94,7.87
304032.0,0.7,21.71,9.63,62.07,-378.0,5.38,79.49,0.4,15.4,99.91,95.23,55.27,12.49
2341179.0,2.1,36.42,3.9,90.42,1516.0,7.26,65.82,0.4,39.9,99.95,71.44,55.27,6.035
